schedule_id,policy_year,benefit_factor,provenance
annuitaet_fallend_3pct,15,0.6408581216124497,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,16,0.6090646059405707,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,17,0.5763172847985353,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,18,0.5425875440222387,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,19,0.5078459110226533,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,20,0.47206202903308037,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,21,0.4352046305838202,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,22,0.39724151018108217,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,23,0.3581394961662621,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,24,0.31786442173099744,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,25,0.27638109506267466,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,26,0.23365326859430247,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,27,0.1896436073318788,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,28,0.14431365623158268,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,29,0.09762380659827766,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,30,0.04953326147597336,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
