age,premium_per_10000,provenance
39,26,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
40,28,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
41,30,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
42,32,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
43,36,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
44,39,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
45,41,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
46,44,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
47,47,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
48,51,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
49,56,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
50,61,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
51,67,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
52,73,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
53,80,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
54,87,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
55,96,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
56,103,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
57,110,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
58,120,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
59,130,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
60,140,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
61,151,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
62,162,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
63,174,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
64,184,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
65,196,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
66,208,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
67,225,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
68,243,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
69,263,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
70,285,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
71,315,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
72,343,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
73,375,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
74,408,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
