scenario_id,y,r_fin,ref_rate,provenance
low,11,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,12,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,13,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,14,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,15,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,16,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,17,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,18,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,19,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,20,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,21,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,22,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,23,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,24,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,25,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,26,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,27,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,28,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,29,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,30,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,31,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,32,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,33,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,34,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,35,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,36,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,37,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,38,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,39,0.0140,0.0220,[std] a sustained reinvestment-drag path; not a forecast
high,0,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,1,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,2,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,3,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,4,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,5,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,6,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,7,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,8,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,9,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,10,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,11,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,12,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,13,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,14,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,15,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,16,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,17,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,18,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,19,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,20,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,21,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,22,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,23,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,24,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,25,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,26,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,27,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,28,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,29,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,30,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,31,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,32,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,33,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,34,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,35,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,36,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,37,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,38,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
high,39,0.0400,0.0220,"[std] a level 4.0% path, above the 2025 upper quartile of 3.3% [R14]"
