factor_id,annuity_age,rentenfaktor_guar,rentenfaktor_curr,provenance
std_2026,70,26.809651,26.809651,[std] derived not observed: R(x) = 10000 / (12 x T_eff(x)) with T_eff(x) = 100/3 - 0.75 (x - 67) at a 0% Rechnungszins [S10] [R16] [R22] [REG-R49]; current factor set equal to the guaranteed one
std_2026,71,27.472527,27.472527,[std] derived not observed: R(x) = 10000 / (12 x T_eff(x)) with T_eff(x) = 100/3 - 0.75 (x - 67) at a 0% Rechnungszins [S10] [R16] [R22] [REG-R49]; current factor set equal to the guaranteed one
std_2026,72,28.169014,28.169014,[std] derived not observed: R(x) = 10000 / (12 x T_eff(x)) with T_eff(x) = 100/3 - 0.75 (x - 67) at a 0% Rechnungszins [S10] [R16] [R22] [REG-R49]; current factor set equal to the guaranteed one
std_2026,73,28.901734,28.901734,[std] derived not observed: R(x) = 10000 / (12 x T_eff(x)) with T_eff(x) = 100/3 - 0.75 (x - 67) at a 0% Rechnungszins [S10] [R16] [R22] [REG-R49]; current factor set equal to the guaranteed one
std_2026,74,29.673591,29.673591,[std] derived not observed: R(x) = 10000 / (12 x T_eff(x)) with T_eff(x) = 100/3 - 0.75 (x - 67) at a 0% Rechnungszins [S10] [R16] [R22] [REG-R49]; current factor set equal to the guaranteed one
std_2026,75,30.487805,30.487805,[std] derived not observed: R(x) = 10000 / (12 x T_eff(x)) with T_eff(x) = 100/3 - 0.75 (x - 67) at a 0% Rechnungszins [S10] [R16] [R22] [REG-R49]; current factor set equal to the guaranteed one
rich_current,60,21.598272,24.190065,[std] guaranteed factor as std_2026; current factor 1.12 x guaranteed - a round uplift chosen so the max(guaranteed current) rule visibly bites [S4] [R22]; not a market observation
rich_current,61,22.026432,24.669604,[std] guaranteed factor as std_2026; current factor 1.12 x guaranteed - a round uplift chosen so the max(guaranteed current) rule visibly bites [S4] [R22]; not a market observation
rich_current,62,22.47191,25.168539,[std] guaranteed factor as std_2026; current factor 1.12 x guaranteed - a round uplift chosen so the max(guaranteed current) rule visibly bites [S4] [R22]; not a market observation
rich_current,63,22.93578,25.688074,[std] guaranteed factor as std_2026; current factor 1.12 x guaranteed - a round uplift chosen so the max(guaranteed current) rule visibly bites [S4] [R22]; not a market observation
rich_current,64,23.419204,26.229508,[std] guaranteed factor as std_2026; current factor 1.12 x guaranteed - a round uplift chosen so the max(guaranteed current) rule visibly bites [S4] [R22]; not a market observation
rich_current,65,23.923445,26.794258,[std] guaranteed factor as std_2026; current factor 1.12 x guaranteed - a round uplift chosen so the max(guaranteed current) rule visibly bites [S4] [R22]; not a market observation
rich_current,66,24.449878,27.383863,[std] guaranteed factor as std_2026; current factor 1.12 x guaranteed - a round uplift chosen so the max(guaranteed current) rule visibly bites [S4] [R22]; not a market observation
rich_current,67,25.0,28.0,[std] guaranteed factor as std_2026; current factor 1.12 x guaranteed - a round uplift chosen so the max(guaranteed current) rule visibly bites [S4] [R22]; not a market observation
rich_current,68,25.575448,28.644502,[std] guaranteed factor as std_2026; current factor 1.12 x guaranteed - a round uplift chosen so the max(guaranteed current) rule visibly bites [S4] [R22]; not a market observation
rich_current,69,26.17801,29.319371,[std] guaranteed factor as std_2026; current factor 1.12 x guaranteed - a round uplift chosen so the max(guaranteed current) rule visibly bites [S4] [R22]; not a market observation
rich_current,70,26.809651,30.026809,[std] guaranteed factor as std_2026; current factor 1.12 x guaranteed - a round uplift chosen so the max(guaranteed current) rule visibly bites [S4] [R22]; not a market observation
rich_current,71,27.472527,30.76923,[std] guaranteed factor as std_2026; current factor 1.12 x guaranteed - a round uplift chosen so the max(guaranteed current) rule visibly bites [S4] [R22]; not a market observation
rich_current,72,28.169014,31.549296,[std] guaranteed factor as std_2026; current factor 1.12 x guaranteed - a round uplift chosen so the max(guaranteed current) rule visibly bites [S4] [R22]; not a market observation
rich_current,73,28.901734,32.369942,[std] guaranteed factor as std_2026; current factor 1.12 x guaranteed - a round uplift chosen so the max(guaranteed current) rule visibly bites [S4] [R22]; not a market observation
rich_current,74,29.673591,33.234422,[std] guaranteed factor as std_2026; current factor 1.12 x guaranteed - a round uplift chosen so the max(guaranteed current) rule visibly bites [S4] [R22]; not a market observation
rich_current,75,30.487805,34.146342,[std] guaranteed factor as std_2026; current factor 1.12 x guaranteed - a round uplift chosen so the max(guaranteed current) rule visibly bites [S4] [R22]; not a market observation
