age,qx_tariff,provenance
51,0.003037998669,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
52,0.003341798536,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
53,0.003675978389,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
54,0.004043576228,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
55,0.004447933851,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
56,0.004892727236,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
57,0.005381999959,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
58,0.005920199955,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
59,0.006512219951,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
60,0.007163441946,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
61,0.007879786141,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
62,0.008667764755,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
63,0.00953454123,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
64,0.010487995353,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
65,0.011536794889,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
66,0.012690474377,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
67,0.013959521815,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
68,0.015355473997,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
69,0.016891021396,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
70,0.018580123536,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
71,0.02043813589,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
72,0.022481949478,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
73,0.024730144426,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
74,0.027203158869,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
75,0.029923474756,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
76,0.032915822231,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
77,0.036207404455,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
78,0.0398281449,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
79,0.04381095939,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
80,0.048192055329,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
81,0.053011260862,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
82,0.058312386948,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
83,0.064143625643,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
84,0.070557988207,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
85,0.077613787028,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
86,0.085375165731,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
87,0.093912682304,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
88,0.103303950534,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
89,0.113634345588,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
90,0.124997780146,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
91,0.137497558161,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
92,0.151247313977,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
93,0.166372045375,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
94,0.183009249912,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
95,0.201310174903,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
96,0.221441192394,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
97,0.243585311633,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
98,0.267943842796,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
99,0.294738227076,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
100,0.324212049784,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
