grade,age,share_ge,provenance
g2,82.0,0.1110,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~2deunggeup or above, 80-84 band, 2024, read at representative age 82.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g2,88.5,0.1480,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~2deunggeup or above, 85 and over band, 2024, read at representative age 88.5; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g3,60.0,0.5250,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~3deunggeup or above, under 65 band, 2024, read at representative age 60.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g3,67.0,0.4140,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~3deunggeup or above, 65-69 band, 2024, read at representative age 67.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g3,72.0,0.3840,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~3deunggeup or above, 70-74 band, 2024, read at representative age 72.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g3,77.0,0.3580,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~3deunggeup or above, 75-79 band, 2024, read at representative age 77.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g3,82.0,0.3570,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~3deunggeup or above, 80-84 band, 2024, read at representative age 82.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g3,88.5,0.4370,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~3deunggeup or above, 85 and over band, 2024, read at representative age 88.5; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g4,60.0,0.8860,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~4deunggeup or above, under 65 band, 2024, read at representative age 60.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g4,67.0,0.8690,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~4deunggeup or above, 65-69 band, 2024, read at representative age 67.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g4,72.0,0.8500,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~4deunggeup or above, 70-74 band, 2024, read at representative age 72.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g4,77.0,0.8290,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~4deunggeup or above, 75-79 band, 2024, read at representative age 77.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g4,82.0,0.8330,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~4deunggeup or above, 80-84 band, 2024, read at representative age 82.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g4,88.5,0.8900,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~4deunggeup or above, 85 and over band, 2024, read at representative age 88.5; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g5,60.0,0.9730,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~5deunggeup or above, under 65 band, 2024, read at representative age 60.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g5,67.0,0.9690,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~5deunggeup or above, 65-69 band, 2024, read at representative age 67.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g5,72.0,0.9680,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~5deunggeup or above, 70-74 band, 2024, read at representative age 72.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g5,77.0,0.9650,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~5deunggeup or above, 75-79 band, 2024, read at representative age 77.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g5,82.0,0.9730,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~5deunggeup or above, 80-84 band, 2024, read at representative age 82.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g5,88.5,0.9870,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~5deunggeup or above, 85 and over band, 2024, read at representative age 88.5; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g6,60.0,1.0000,"[R4 pyo 2-5] every certified life is at 1~injijiwon-deunggeup or above, so the share is 1 by construction at every age"
g6,67.0,1.0000,"[R4 pyo 2-5] every certified life is at 1~injijiwon-deunggeup or above, so the share is 1 by construction at every age"
g6,72.0,1.0000,"[R4 pyo 2-5] every certified life is at 1~injijiwon-deunggeup or above, so the share is 1 by construction at every age"
g6,77.0,1.0000,"[R4 pyo 2-5] every certified life is at 1~injijiwon-deunggeup or above, so the share is 1 by construction at every age"
g6,82.0,1.0000,"[R4 pyo 2-5] every certified life is at 1~injijiwon-deunggeup or above, so the share is 1 by construction at every age"
g6,88.5,1.0000,"[R4 pyo 2-5] every certified life is at 1~injijiwon-deunggeup or above, so the share is 1 by construction at every age"
