sex,birth_year,age,mort_rate,provenance
M,1941,52,0.0016455421,[std] INSEE-shaped generational proxy
M,1941,53,0.0017989550,[std] INSEE-shaped generational proxy
M,1941,54,0.0019694951,[std] INSEE-shaped generational proxy
M,1941,55,0.0021590711,[std] INSEE-shaped generational proxy
M,1941,56,0.0023698036,[std] INSEE-shaped generational proxy
M,1941,57,0.0026040483,[std] INSEE-shaped generational proxy
M,1941,58,0.0028644221,[std] INSEE-shaped generational proxy
M,1941,59,0.0031538317,[std] INSEE-shaped generational proxy
M,1941,60,0.0034755050,[std] INSEE-shaped generational proxy
M,1941,61,0.0038330265,[std] INSEE-shaped generational proxy
M,1941,62,0.0042303761,[std] INSEE-shaped generational proxy
M,1941,63,0.0046719721,[std] INSEE-shaped generational proxy
M,1941,64,0.0051627182,[std] INSEE-shaped generational proxy
M,1941,65,0.0057080565,[std] INSEE-shaped generational proxy
M,1941,66,0.0063140245,[std] INSEE-shaped generational proxy
M,1941,67,0.0069873195,[std] INSEE-shaped generational proxy
M,1941,68,0.0077353681,[std] INSEE-shaped generational proxy
M,1941,69,0.0085664033,[std] INSEE-shaped generational proxy
M,1941,70,0.0094895493,[std] INSEE-shaped generational proxy
M,1941,71,0.0105149142,[std] INSEE-shaped generational proxy
M,1941,72,0.0116536912,[std] INSEE-shaped generational proxy
M,1941,73,0.0129182699,[std] INSEE-shaped generational proxy
M,1941,74,0.0143223566,[std] INSEE-shaped generational proxy
M,1941,75,0.0158811064,[std] INSEE-shaped generational proxy
M,1941,76,0.0176112648,[std] INSEE-shaped generational proxy
M,1941,77,0.0195313220,[std] INSEE-shaped generational proxy
M,1941,78,0.0216616783,[std] INSEE-shaped generational proxy
M,1941,79,0.0240248214,[std] INSEE-shaped generational proxy
M,1941,80,0.0266455148,[std] INSEE-shaped generational proxy
M,1941,81,0.0295509986,[std] INSEE-shaped generational proxy
M,1941,82,0.0327711982,[std] INSEE-shaped generational proxy
M,1941,83,0.0363389436,[std] INSEE-shaped generational proxy
M,1941,84,0.0402901934,[std] INSEE-shaped generational proxy
M,1941,85,0.0446642623,[std] INSEE-shaped generational proxy
M,1941,86,0.0495040477,[std] INSEE-shaped generational proxy
M,1941,87,0.0548562479,[std] INSEE-shaped generational proxy
M,1941,88,0.0607715670,[std] INSEE-shaped generational proxy
M,1941,89,0.0673048953,[std] INSEE-shaped generational proxy
M,1941,90,0.0745154532,[std] INSEE-shaped generational proxy
M,1941,91,0.0824668856,[std] INSEE-shaped generational proxy
M,1941,92,0.0912272860,[std] INSEE-shaped generational proxy
M,1941,93,0.1008691309,[std] INSEE-shaped generational proxy
M,1941,94,0.1114690970,[std] INSEE-shaped generational proxy
M,1941,95,0.1231077296,[std] INSEE-shaped generational proxy
M,1941,96,0.1358689279,[std] INSEE-shaped generational proxy
M,1941,97,0.1498392046,[std] INSEE-shaped generational proxy
M,1941,98,0.1651066734,[std] INSEE-shaped generational proxy
M,1941,99,0.1817597144,[std] INSEE-shaped generational proxy
M,1941,100,0.1998852623,[std] INSEE-shaped generational proxy
M,1941,101,0.2195666619,[std] INSEE-shaped generational proxy
M,1941,102,0.2408810382,[std] INSEE-shaped generational proxy
M,1941,103,0.2638961329,[std] INSEE-shaped generational proxy
M,1941,104,0.2886665727,[std] INSEE-shaped generational proxy
M,1941,105,0.3152295588,[std] INSEE-shaped generational proxy
M,1941,106,0.3435999927,[std] INSEE-shaped generational proxy
M,1941,107,0.3737651067,[std] INSEE-shaped generational proxy
M,1941,108,0.4056787213,[std] INSEE-shaped generational proxy
M,1941,109,0.4392553313,[std] INSEE-shaped generational proxy
M,1941,110,0.4743643178,[std] INSEE-shaped generational proxy
M,1941,111,0.5108246868,[std] INSEE-shaped generational proxy
M,1941,112,0.5484008550,[std] INSEE-shaped generational proxy
M,1941,113,0.5868001131,[std] INSEE-shaped generational proxy
M,1941,114,0.6256724906,[std] INSEE-shaped generational proxy
M,1941,115,0.6646137977,[std] INSEE-shaped generational proxy
M,1941,116,0.7031725898,[std] INSEE-shaped generational proxy
M,1941,117,0.7408616741,[std] INSEE-shaped generational proxy
M,1941,118,0.7771744972,[std] INSEE-shaped generational proxy
M,1941,119,0.8116063136,[std] INSEE-shaped generational proxy
M,1941,120,1.0000000000,[std] INSEE-shaped generational proxy
M,1942,50,0.0013695741,[std] INSEE-shaped generational proxy
M,1942,51,0.0014924745,[std] INSEE-shaped generational proxy
M,1942,52,0.0016291001,[std] INSEE-shaped generational proxy
M,1942,53,0.0017809814,[std] INSEE-shaped generational proxy
M,1942,54,0.0019498193,[std] INSEE-shaped generational proxy
M,1942,55,0.0021375034,[std] INSEE-shaped generational proxy
M,1942,56,0.0023461333,[std] INSEE-shaped generational proxy
M,1942,57,0.0025780414,[std] INSEE-shaped generational proxy
M,1942,58,0.0028358186,[std] INSEE-shaped generational proxy
M,1942,59,0.0031223427,[std] INSEE-shaped generational proxy
M,1942,60,0.0034408098,[std] INSEE-shaped generational proxy
M,1942,61,0.0037947690,[std] INSEE-shaped generational proxy
M,1942,62,0.0041881611,[std] INSEE-shaped generational proxy
M,1942,63,0.0046253606,[std] INSEE-shaped generational proxy
M,1942,64,0.0051112232,[std] INSEE-shaped generational proxy
M,1942,65,0.0056511375,[std] INSEE-shaped generational proxy
M,1942,66,0.0062510821,[std] INSEE-shaped generational proxy
M,1942,67,0.0069176886,[std] INSEE-shaped generational proxy
M,1942,68,0.0076583113,[std] INSEE-shaped generational proxy
M,1942,69,0.0084811035,[std] INSEE-shaped generational proxy
M,1942,70,0.0093951010,[std] INSEE-shaped generational proxy
M,1942,71,0.0104103143,[std] INSEE-shaped generational proxy
M,1942,72,0.0115378292,[std] INSEE-shaped generational proxy
M,1942,73,0.0127899168,[std] INSEE-shaped generational proxy
M,1942,74,0.0141801534,[std] INSEE-shaped generational proxy
M,1942,75,0.0157235505,[std] INSEE-shaped generational proxy
M,1942,76,0.0174366966,[std] INSEE-shaped generational proxy
M,1942,77,0.0193379096,[std] INSEE-shaped generational proxy
M,1942,78,0.0214474014,[std] INSEE-shaped generational proxy
M,1942,79,0.0237874536,[std] INSEE-shaped generational proxy
M,1942,80,0.0263826061,[std] INSEE-shaped generational proxy
M,1942,81,0.0292598549,[std] INSEE-shaped generational proxy
M,1942,82,0.0324488619,[std] INSEE-shaped generational proxy
M,1942,83,0.0359821722,[std] INSEE-shaped generational proxy
M,1942,84,0.0398954380,[std] INSEE-shaped generational proxy
M,1942,85,0.0442276464,[std] INSEE-shaped generational proxy
M,1942,86,0.0490213453,[std] INSEE-shaped generational proxy
M,1942,87,0.0543228639,[std] INSEE-shaped generational proxy
M,1942,88,0.0601825185,[std] INSEE-shaped generational proxy
M,1942,89,0.0666547956,[std] INSEE-shaped generational proxy
M,1942,90,0.0737985004,[std] INSEE-shaped generational proxy
M,1942,91,0.0816768560,[std] INSEE-shaped generational proxy
M,1942,92,0.0903575357,[std] INSEE-shaped generational proxy
M,1942,93,0.0999126065,[std] INSEE-shaped generational proxy
M,1942,94,0.1104183584,[std] INSEE-shaped generational proxy
M,1942,95,0.1219549892,[std] INSEE-shaped generational proxy
M,1942,96,0.1346061084,[std] INSEE-shaped generational proxy
M,1942,97,0.1484580197,[std] INSEE-shaped generational proxy
M,1942,98,0.1635987373,[std] INSEE-shaped generational proxy
M,1942,99,0.1801166833,[std] INSEE-shaped generational proxy
M,1942,100,0.1980990144,[std] INSEE-shaped generational proxy
M,1942,101,0.2176295211,[std] INSEE-shaped generational proxy
M,1942,102,0.2387860453,[std] INSEE-shaped generational proxy
M,1942,103,0.2616373696,[std] INSEE-shaped generational proxy
M,1942,104,0.2862395404,[std] INSEE-shaped generational proxy
M,1942,105,0.3126316117,[std] INSEE-shaped generational proxy
M,1942,106,0.3408308229,[std] INSEE-shaped generational proxy
M,1942,107,0.3708272715,[std] INSEE-shaped generational proxy
M,1942,108,0.4025781987,[std] INSEE-shaped generational proxy
M,1942,109,0.4360020809,[std] INSEE-shaped generational proxy
M,1942,110,0.4709728136,[std] INSEE-shaped generational proxy
M,1942,111,0.5073143803,[std] INSEE-shaped generational proxy
M,1942,112,0.5447965134,[std] INSEE-shaped generational proxy
M,1942,113,0.5831319680,[std] INSEE-shaped generational proxy
M,1942,114,0.6219761271,[std] INSEE-shaped generational proxy
M,1942,115,0.6609297082,[std] INSEE-shaped generational proxy
M,1942,116,0.6995453271,[std] INSEE-shaped generational proxy
M,1942,117,0.7373385531,[std] INSEE-shaped generational proxy
M,1942,118,0.7738038304,[std] INSEE-shaped generational proxy
M,1942,119,0.8084352131,[std] INSEE-shaped generational proxy
M,1942,120,1.0000000000,[std] INSEE-shaped generational proxy
M,1943,50,0.0013558877,[std] INSEE-shaped generational proxy
M,1943,51,0.0014775608,[std] INSEE-shaped generational proxy
M,1943,52,0.0016128222,[std] INSEE-shaped generational proxy
M,1943,53,0.0017631873,[std] INSEE-shaped generational proxy
M,1943,54,0.0019303400,[std] INSEE-shaped generational proxy
M,1943,55,0.0021161510,[std] INSEE-shaped generational proxy
M,1943,56,0.0023226993,[std] INSEE-shaped generational proxy
M,1943,57,0.0025522939,[std] INSEE-shaped generational proxy
M,1943,58,0.0028075002,[std] INSEE-shaped generational proxy
M,1943,59,0.0030911675,[std] INSEE-shaped generational proxy
M,1943,60,0.0034064603,[std] INSEE-shaped generational proxy
M,1943,61,0.0037568927,[std] INSEE-shaped generational proxy
M,1943,62,0.0041463664,[std] INSEE-shaped generational proxy
M,1943,63,0.0045792130,[std] INSEE-shaped generational proxy
M,1943,64,0.0050602405,[std] INSEE-shaped generational proxy
M,1943,65,0.0055947845,[std] INSEE-shaped generational proxy
M,1943,66,0.0061887651,[std] INSEE-shaped generational proxy
M,1943,67,0.0068487491,[std] INSEE-shaped generational proxy
M,1943,68,0.0075820193,[std] INSEE-shaped generational proxy
M,1943,69,0.0083966496,[std] INSEE-shaped generational proxy
M,1943,70,0.0093015883,[std] INSEE-shaped generational proxy
M,1943,71,0.0103067495,[std] INSEE-shaped generational proxy
M,1943,72,0.0114231124,[std] INSEE-shaped generational proxy
M,1943,73,0.0126628309,[std] INSEE-shaped generational proxy
M,1943,74,0.0140393520,[std] INSEE-shaped generational proxy
M,1943,75,0.0155675453,[std] INSEE-shaped generational proxy
M,1943,76,0.0172638436,[std] INSEE-shaped generational proxy
M,1943,77,0.0191463938,[std] INSEE-shaped generational proxy
M,1943,78,0.0212352209,[std] INSEE-shaped generational proxy
M,1943,79,0.0235524027,[std] INSEE-shaped generational proxy
M,1943,80,0.0261222564,[std] INSEE-shaped generational proxy
M,1943,81,0.0289715366,[std] INSEE-shaped generational proxy
M,1943,82,0.0321296432,[std] INSEE-shaped generational proxy
M,1943,83,0.0356288384,[std] INSEE-shaped generational proxy
M,1943,84,0.0395044703,[std] INSEE-shaped generational proxy
M,1943,85,0.0437952000,[std] INSEE-shaped generational proxy
M,1943,86,0.0485432285,[std] INSEE-shaped generational proxy
M,1943,87,0.0537945173,[std] INSEE-shaped generational proxy
M,1943,88,0.0595989965,[std] INSEE-shaped generational proxy
M,1943,89,0.0660107505,[std] INSEE-shaped generational proxy
M,1943,90,0.0730881699,[std] INSEE-shaped generational proxy
M,1943,91,0.0808940567,[std] INSEE-shaped generational proxy
M,1943,92,0.0894956630,[std] INSEE-shaped generational proxy
M,1943,93,0.0989646449,[std] INSEE-shaped generational proxy
M,1943,94,0.1093769032,[std] INSEE-shaped generational proxy
M,1943,95,0.1208122836,[std] INSEE-shaped generational proxy
M,1943,96,0.1333540992,[std] INSEE-shaped generational proxy
M,1943,97,0.1470884364,[std] INSEE-shaped generational proxy
M,1943,98,0.1621031977,[std] INSEE-shaped generational proxy
M,1943,99,0.1784868325,[std] INSEE-shaped generational proxy
M,1943,100,0.1963267008,[std] INSEE-shaped generational proxy
M,1943,101,0.2157070153,[std] INSEE-shaped generational proxy
M,1943,102,0.2367063071,[std] INSEE-shaped generational proxy
M,1943,103,0.2593943665,[std] INSEE-shaped generational proxy
M,1943,104,0.2838286214,[std] INSEE-shaped generational proxy
M,1943,105,0.3100499353,[std] INSEE-shaped generational proxy
M,1943,106,0.3380778373,[std] INSEE-shaped generational proxy
M,1943,107,0.3679052387,[std] INSEE-shaped generational proxy
M,1943,108,0.3994927483,[std] INSEE-shaped generational proxy
M,1943,109,0.4327627712,[std] INSEE-shaped generational proxy
M,1943,110,0.4675936693,[std] INSEE-shaped generational proxy
M,1943,111,0.5038143642,[std] INSEE-shaped generational proxy
M,1943,112,0.5411998787,[std] INSEE-shaped generational proxy
M,1943,113,0.5794684285,[std] INSEE-shaped generational proxy
M,1943,114,0.6182807737,[std] INSEE-shaped generational proxy
M,1943,115,0.6572425978,[std] INSEE-shaped generational proxy
M,1943,116,0.6959106759,[std] INSEE-shaped generational proxy
M,1943,117,0.7338034829,[std] INSEE-shaped generational proxy
M,1943,118,0.7704166473,[std] INSEE-shaped generational proxy
M,1943,119,0.8052432476,[std] INSEE-shaped generational proxy
M,1943,120,1.0000000000,[std] INSEE-shaped generational proxy
M,1944,50,0.0013423379,[std] INSEE-shaped generational proxy
M,1944,51,0.0014627960,[std] INSEE-shaped generational proxy
M,1944,52,0.0015967069,[std] INSEE-shaped generational proxy
M,1944,53,0.0017455709,[std] INSEE-shaped generational proxy
M,1944,54,0.0019110550,[std] INSEE-shaped generational proxy
M,1944,55,0.0020950117,[std] INSEE-shaped generational proxy
M,1944,56,0.0022994990,[std] INSEE-shaped generational proxy
M,1944,57,0.0025268032,[std] INSEE-shaped generational proxy
M,1944,58,0.0027794643,[std] INSEE-shaped generational proxy
M,1944,59,0.0030603032,[std] INSEE-shaped generational proxy
M,1944,60,0.0033724532,[std] INSEE-shaped generational proxy
M,1944,61,0.0037193937,[std] INSEE-shaped generational proxy
M,1944,62,0.0041049880,[std] INSEE-shaped generational proxy
M,1944,63,0.0045335249,[std] INSEE-shaped generational proxy
M,1944,64,0.0050097651,[std] INSEE-shaped generational proxy
M,1944,65,0.0055389919,[std] INSEE-shaped generational proxy
M,1944,66,0.0061270674,[std] INSEE-shaped generational proxy
M,1944,67,0.0067804944,[std] INSEE-shaped generational proxy
M,1944,68,0.0075064844,[std] INSEE-shaped generational proxy
M,1944,69,0.0083130330,[std] INSEE-shaped generational proxy
M,1944,70,0.0092090020,[std] INSEE-shaped generational proxy
M,1944,71,0.0102042096,[std] INSEE-shaped generational proxy
M,1944,72,0.0113095297,[std] INSEE-shaped generational proxy
M,1944,73,0.0125369997,[std] INSEE-shaped generational proxy
M,1944,74,0.0138999388,[std] INSEE-shaped generational proxy
M,1944,75,0.0154130758,[std] INSEE-shaped generational proxy
M,1944,76,0.0170926891,[std] INSEE-shaped generational proxy
M,1944,77,0.0189567563,[std] INSEE-shaped generational proxy
M,1944,78,0.0210251170,[std] INSEE-shaped generational proxy
M,1944,79,0.0233196466,[std] INSEE-shaped generational proxy
M,1944,80,0.0258644417,[std] INSEE-shaped generational proxy
M,1944,81,0.0286860172,[std] INSEE-shaped generational proxy
M,1944,82,0.0318135129,[std] INSEE-shaped generational proxy
M,1944,83,0.0352789104,[std] INSEE-shaped generational proxy
M,1944,84,0.0391172554,[std] INSEE-shaped generational proxy
M,1944,85,0.0433668853,[std] INSEE-shaped generational proxy
M,1944,86,0.0480696560,[std] INSEE-shaped generational proxy
M,1944,87,0.0532711634,[std] INSEE-shaped generational proxy
M,1944,88,0.0590209529,[std] INSEE-shaped generational proxy
M,1944,89,0.0653727081,[std] INSEE-shaped generational proxy
M,1944,90,0.0723844062,[std] INSEE-shaped generational proxy
M,1944,91,0.0801184280,[std] INSEE-shaped generational proxy
M,1944,92,0.0886416047,[std] INSEE-shaped generational proxy
M,1944,93,0.0980251795,[std] INSEE-shaped generational proxy
M,1944,94,0.1083446615,[std] INSEE-shaped generational proxy
M,1944,95,0.1196795401,[std] INSEE-shaped generational proxy
M,1944,96,0.1321128259,[std] INSEE-shaped generational proxy
M,1944,97,0.1457303791,[std] INSEE-shaped generational proxy
M,1944,98,0.1606199794,[std] INSEE-shaped generational proxy
M,1944,99,0.1768700888,[std] INSEE-shaped generational proxy
M,1944,100,0.1945682519,[std] INSEE-shaped generational proxy
M,1944,101,0.2137990811,[std] INSEE-shaped generational proxy
M,1944,102,0.2346417691,[std] INSEE-shaped generational proxy
M,1944,103,0.2571670816,[std] INSEE-shaped generational proxy
M,1944,104,0.2814337899,[std] INSEE-shaped generational proxy
M,1944,105,0.3074845242,[std] INSEE-shaped generational proxy
M,1944,106,0.3353410558,[std] INSEE-shaped generational proxy
M,1944,107,0.3649990588,[std] INSEE-shaped generational proxy
M,1944,108,0.3964224558,[std] INSEE-shaped generational proxy
M,1944,109,0.4295375282,[std] INSEE-shaped generational proxy
M,1944,110,0.4642270555,[std] INSEE-shaped generational proxy
M,1944,111,0.5003248567,[std] INSEE-shaped generational proxy
M,1944,112,0.5376112183,[std] INSEE-shaped generational proxy
M,1944,113,0.5758098105,[std] INSEE-shaped generational proxy
M,1944,114,0.6145867913,[std] INSEE-shaped generational proxy
M,1944,115,0.6535528650,[std] INSEE-shaped generational proxy
M,1944,116,0.6922690613,[std] INSEE-shaped generational proxy
M,1944,117,0.7302568994,[std] INSEE-shaped generational proxy
M,1944,118,0.7670133753,[std] INSEE-shaped generational proxy
M,1944,119,0.8020308134,[std] INSEE-shaped generational proxy
M,1944,120,1.0000000000,[std] INSEE-shaped generational proxy
M,1945,50,0.0013289234,[std] INSEE-shaped generational proxy
M,1945,51,0.0014481786,[std] INSEE-shaped generational proxy
M,1945,52,0.0015807524,[std] INSEE-shaped generational proxy
M,1945,53,0.0017281302,[std] INSEE-shaped generational proxy
M,1945,54,0.0018919626,[std] INSEE-shaped generational proxy
M,1945,55,0.0020740833,[std] INSEE-shaped generational proxy
M,1945,56,0.0022765302,[std] INSEE-shaped generational proxy
M,1945,57,0.0025015668,[std] INSEE-shaped generational proxy
M,1945,58,0.0027517079,[std] INSEE-shaped generational proxy
M,1945,59,0.0030297466,[std] INSEE-shaped generational proxy
M,1945,60,0.0033387851,[std] INSEE-shaped generational proxy
M,1945,61,0.0036822683,[std] INSEE-shaped generational proxy
M,1945,62,0.0040640216,[std] INSEE-shaped generational proxy
M,1945,63,0.0044882915,[std] INSEE-shaped generational proxy
M,1945,64,0.0049597919,[std] INSEE-shaped generational proxy
M,1945,65,0.0054837541,[std] INSEE-shaped generational proxy
M,1945,66,0.0060659829,[std] INSEE-shaped generational proxy
M,1945,67,0.0067129175,[std] INSEE-shaped generational proxy
M,1945,68,0.0074316992,[std] INSEE-shaped generational proxy
M,1945,69,0.0082302458,[std] INSEE-shaped generational proxy
M,1945,70,0.0091173331,[std] INSEE-shaped generational proxy
M,1945,71,0.0101026847,[std] INSEE-shaped generational proxy
M,1945,72,0.0111970700,[std] INSEE-shaped generational proxy
M,1945,73,0.0124124111,[std] INSEE-shaped generational proxy
M,1945,74,0.0137619003,[std] INSEE-shaped generational proxy
M,1945,75,0.0152601272,[std] INSEE-shaped generational proxy
M,1945,76,0.0169232168,[std] INSEE-shaped generational proxy
M,1945,77,0.0187689790,[std] INSEE-shaped generational proxy
M,1945,78,0.0208170696,[std] INSEE-shaped generational proxy
M,1945,79,0.0230891633,[std] INSEE-shaped generational proxy
M,1945,80,0.0256091379,[std] INSEE-shaped generational proxy
M,1945,81,0.0284032702,[std] INSEE-shaped generational proxy
M,1945,82,0.0315004422,[std] INSEE-shaped generational proxy
M,1945,83,0.0349323565,[std] INSEE-shaped generational proxy
M,1945,84,0.0387337589,[std] INSEE-shaped generational proxy
M,1945,85,0.0429426648,[std] INSEE-shaped generational proxy
M,1945,86,0.0476005871,[std] INSEE-shaped generational proxy
M,1945,87,0.0527527578,[std] INSEE-shaped generational proxy
M,1945,88,0.0584483398,[std] INSEE-shaped generational proxy
M,1945,89,0.0647406168,[std] INSEE-shaped generational proxy
M,1945,90,0.0716871538,[std] INSEE-shaped generational proxy
M,1945,91,0.0793499109,[std] INSEE-shaped generational proxy
M,1945,92,0.0877952977,[std] INSEE-shaped generational proxy
M,1945,93,0.0970941438,[std] INSEE-shaped generational proxy
M,1945,94,0.1073215638,[std] INSEE-shaped generational proxy
M,1945,95,0.1185566865,[std] INSEE-shaped generational proxy
M,1945,96,0.1308822141,[std] INSEE-shaped generational proxy
M,1945,97,0.1443837722,[std] INSEE-shaped generational proxy
M,1945,98,0.1591490070,[std] INSEE-shaped generational proxy
M,1945,99,0.1752663783,[std] INSEE-shaped generational proxy
M,1945,100,0.1928235976,[std] INSEE-shaped generational proxy
M,1945,101,0.2119056543,[std] INSEE-shaped generational proxy
M,1945,102,0.2325923759,[std] INSEE-shaped generational proxy
M,1945,103,0.2549554714,[std] INSEE-shaped generational proxy
M,1945,104,0.2790550183,[std] INSEE-shaped generational proxy
M,1945,105,0.3049353711,[std] INSEE-shaped generational proxy
M,1945,106,0.3326204961,[std] INSEE-shaped generational proxy
M,1945,107,0.3621087788,[std] INSEE-shaped generational proxy
M,1945,108,0.3933674032,[std] INSEE-shaped generational proxy
M,1945,109,0.4263264738,[std] INSEE-shaped generational proxy
M,1945,110,0.4608731381,[std] INSEE-shaped generational proxy
M,1945,111,0.4968460711,[std] INSEE-shaped generational proxy
M,1945,112,0.5340307950,[std] INSEE-shaped generational proxy
M,1945,113,0.5721564256,[std] INSEE-shaped generational proxy
M,1945,114,0.6108945367,[std] INSEE-shaped generational proxy
M,1945,115,0.6498609054,[std] INSEE-shaped generational proxy
M,1945,116,0.6886209065,[std] INSEE-shaped generational proxy
M,1945,117,0.7266992385,[std] INSEE-shaped generational proxy
M,1945,118,0.7635944436,[std] INSEE-shaped generational proxy
M,1945,119,0.7987983107,[std] INSEE-shaped generational proxy
M,1945,120,1.0000000000,[std] INSEE-shaped generational proxy
M,1946,50,0.0013156430,[std] INSEE-shaped generational proxy
M,1946,51,0.0014337072,[std] INSEE-shaped generational proxy
M,1946,52,0.0015649573,[std] INSEE-shaped generational proxy
M,1946,53,0.0017108637,[std] INSEE-shaped generational proxy
M,1946,54,0.0018730607,[std] INSEE-shaped generational proxy
M,1946,55,0.0020533638,[std] INSEE-shaped generational proxy
M,1946,56,0.0022537906,[std] INSEE-shaped generational proxy
M,1946,57,0.0024765822,[std] INSEE-shaped generational proxy
M,1946,58,0.0027242284,[std] INSEE-shaped generational proxy
M,1946,59,0.0029994946,[std] INSEE-shaped generational proxy
M,1946,60,0.0033054525,[std] INSEE-shaped generational proxy
M,1946,61,0.0036455129,[std] INSEE-shaped generational proxy
M,1946,62,0.0040234633,[std] INSEE-shaped generational proxy
M,1946,63,0.0044435085,[std] INSEE-shaped generational proxy
M,1946,64,0.0049103159,[std] INSEE-shaped generational proxy
M,1946,65,0.0054290657,[std] INSEE-shaped generational proxy
M,1946,66,0.0060055056,[std] INSEE-shaped generational proxy
M,1946,67,0.0066460119,[std] INSEE-shaped generational proxy
M,1946,68,0.0073576563,[std] INSEE-shaped generational proxy
M,1946,69,0.0081482795,[std] INSEE-shaped generational proxy
M,1946,70,0.0090265725,[std] INSEE-shaped generational proxy
M,1946,71,0.0100021648,[std] INSEE-shaped generational proxy
M,1946,72,0.0110857222,[std] INSEE-shaped generational proxy
M,1946,73,0.0122890528,[std] INSEE-shaped generational proxy
