Policy,Product,PolicyType,Gen,Channel,Duration,Sex,IssueAge,PaymentMode,PremFreq,PolicyTerm,MaxPolicyTerm,PolicyCount,SumAssured
71,TERM,1,1,,0,M,65,1,12,15,30,1,1000000
72,TERM,1,1,,0,F,65,1,12,15,30,1,1000000
73,TERM,1,1,,0,M,66,1,12,15,29,1,1000000
74,TERM,1,1,,0,F,66,1,12,15,29,1,1000000
75,TERM,1,1,,0,M,67,1,12,15,28,1,1000000
76,TERM,1,1,,0,F,67,1,12,15,28,1,1000000
77,TERM,1,1,,0,M,68,1,12,15,27,1,1000000
78,TERM,1,1,,0,F,68,1,12,15,27,1,1000000
79,TERM,1,1,,0,M,69,1,12,15,26,1,1000000
80,TERM,1,1,,0,F,69,1,12,15,26,1,1000000
81,TERM,1,1,,0,M,70,1,12,15,25,1,1000000
82,TERM,1,1,,0,F,70,1,12,15,25,1,1000000
83,TERM,1,1,,0,M,71,1,12,15,24,1,1000000
84,TERM,1,1,,0,F,71,1,12,15,24,1,1000000
85,TERM,1,1,,0,M,72,1,12,15,23,1,1000000
86,TERM,1,1,,0,F,72,1,12,15,23,1,1000000
87,TERM,1,1,,0,M,73,1,12,15,22,1,1000000
88,TERM,1,1,,0,F,73,1,12,15,22,1,1000000
89,TERM,1,1,,0,M,74,1,12,15,21,1,1000000
90,TERM,1,1,,0,F,74,1,12,15,21,1,1000000
91,TERM,1,1,,0,M,75,1,12,15,20,1,1000000
92,TERM,1,1,,0,F,75,1,12,15,20,1,1000000
93,TERM,1,1,,0,M,76,1,12,15,19,1,1000000
94,TERM,1,1,,0,F,76,1,12,15,19,1,1000000
95,TERM,1,1,,0,M,77,1,12,15,18,1,1000000
96,TERM,1,1,,0,F,77,1,12,15,18,1,1000000
97,TERM,1,1,,0,M,78,1,12,15,17,1,1000000
98,TERM,1,1,,0,F,78,1,12,15,17,1,1000000
99,TERM,1,1,,0,M,79,1,12,15,16,1,1000000
100,TERM,1,1,,0,F,79,1,12,15,16,1,1000000
101,WL,1,1,,0,M,15,1,12,115,115,1,1000000
102,WL,1,1,,0,F,15,1,12,115,115,1,1000000
103,WL,1,1,,0,M,16,1,12,114,114,1,1000000
104,WL,1,1,,0,F,16,1,12,114,114,1,1000000
105,WL,1,1,,0,M,17,1,12,113,113,1,1000000
106,WL,1,1,,0,F,17,1,12,113,113,1,1000000
107,WL,1,1,,0,M,18,1,12,112,112,1,1000000
108,WL,1,1,,0,F,18,1,12,112,112,1,1000000
109,WL,1,1,,0,M,19,1,12,111,111,1,1000000
110,WL,1,1,,0,F,19,1,12,111,111,1,1000000
111,WL,1,1,,0,M,20,1,12,110,110,1,1000000
112,WL,1,1,,0,F,20,1,12,110,110,1,1000000
113,WL,1,1,,0,M,21,1,12,109,109,1,1000000
114,WL,1,1,,0,F,21,1,12,109,109,1,1000000
115,WL,1,1,,0,M,22,1,12,108,108,1,1000000
116,WL,1,1,,0,F,22,1,12,108,108,1,1000000
117,WL,1,1,,0,M,23,1,12,107,107,1,1000000
118,WL,1,1,,0,F,23,1,12,107,107,1,1000000
119,WL,1,1,,0,M,24,1,12,106,106,1,1000000
120,WL,1,1,,0,F,24,1,12,106,106,1,1000000
121,WL,1,1,,0,M,25,1,12,105,105,1,1000000
122,WL,1,1,,0,F,25,1,12,105,105,1,1000000
123,WL,1,1,,0,M,26,1,12,104,104,1,1000000
124,WL,1,1,,0,F,26,1,12,104,104,1,1000000
125,WL,1,1,,0,M,27,1,12,103,103,1,1000000
126,WL,1,1,,0,F,27,1,12,103,103,1,1000000
127,WL,1,1,,0,M,28,1,12,102,102,1,1000000
128,WL,1,1,,0,F,28,1,12,102,102,1,1000000
129,WL,1,1,,0,M,29,1,12,101,101,1,1000000
130,WL,1,1,,0,F,29,1,12,101,101,1,1000000
131,WL,1,1,,0,M,30,1,12,100,100,1,1000000
132,WL,1,1,,0,F,30,1,12,100,100,1,1000000
133,WL,1,1,,0,M,31,1,12,99,99,1,1000000
134,WL,1,1,,0,F,31,1,12,99,99,1,1000000
135,WL,1,1,,0,M,32,1,12,98,98,1,1000000
136,WL,1,1,,0,F,32,1,12,98,98,1,1000000
137,WL,1,1,,0,M,33,1,12,97,97,1,1000000
138,WL,1,1,,0,F,33,1,12,97,97,1,1000000
139,WL,1,1,,0,M,34,1,12,96,96,1,1000000
140,WL,1,1,,0,F,34,1,12,96,96,1,1000000
141,WL,1,1,,0,M,35,1,12,95,95,1,1000000
142,WL,1,1,,0,F,35,1,12,95,95,1,1000000
143,WL,1,1,,0,M,36,1,12,94,94,1,1000000
144,WL,1,1,,0,F,36,1,12,94,94,1,1000000
145,WL,1,1,,0,M,37,1,12,93,93,1,1000000
146,WL,1,1,,0,F,37,1,12,93,93,1,1000000
147,WL,1,1,,0,M,38,1,12,92,92,1,1000000
148,WL,1,1,,0,F,38,1,12,92,92,1,1000000
149,WL,1,1,,0,M,39,1,12,91,91,1,1000000
150,WL,1,1,,0,F,39,1,12,91,91,1,1000000
151,WL,1,1,,0,M,40,1,12,90,90,1,1000000
152,WL,1,1,,0,F,40,1,12,90,90,1,1000000
153,WL,1,1,,0,M,41,1,12,89,89,1,1000000
154,WL,1,1,,0,F,41,1,12,89,89,1,1000000
155,WL,1,1,,0,M,42,1,12,88,88,1,1000000
156,WL,1,1,,0,F,42,1,12,88,88,1,1000000
157,WL,1,1,,0,M,43,1,12,87,87,1,1000000
158,WL,1,1,,0,F,43,1,12,87,87,1,1000000
159,WL,1,1,,0,M,44,1,12,86,86,1,1000000
160,WL,1,1,,0,F,44,1,12,86,86,1,1000000
161,WL,1,1,,0,M,45,1,12,85,85,1,1000000
162,WL,1,1,,0,F,45,1,12,85,85,1,1000000
163,WL,1,1,,0,M,46,1,12,84,84,1,1000000
164,WL,1,1,,0,F,46,1,12,84,84,1,1000000
165,WL,1,1,,0,M,47,1,12,83,83,1,1000000
166,WL,1,1,,0,F,47,1,12,83,83,1,1000000
167,WL,1,1,,0,M,48,1,12,82,82,1,1000000
168,WL,1,1,,0,F,48,1,12,82,82,1,1000000
169,WL,1,1,,0,M,49,1,12,81,81,1,1000000
170,WL,1,1,,0,F,49,1,12,81,81,1,1000000
171,WL,1,1,,0,M,50,1,12,80,80,1,1000000
172,WL,1,1,,0,F,50,1,12,80,80,1,1000000
173,WL,1,1,,0,M,51,1,12,79,79,1,1000000
174,WL,1,1,,0,F,51,1,12,79,79,1,1000000
175,WL,1,1,,0,M,52,1,12,78,78,1,1000000
176,WL,1,1,,0,F,52,1,12,78,78,1,1000000
177,WL,1,1,,0,M,53,1,12,77,77,1,1000000
178,WL,1,1,,0,F,53,1,12,77,77,1,1000000
179,WL,1,1,,0,M,54,1,12,76,76,1,1000000
180,WL,1,1,,0,F,54,1,12,76,76,1,1000000
181,WL,1,1,,0,M,55,1,12,75,75,1,1000000
182,WL,1,1,,0,F,55,1,12,75,75,1,1000000
183,WL,1,1,,0,M,56,1,12,74,74,1,1000000
184,WL,1,1,,0,F,56,1,12,74,74,1,1000000
185,WL,1,1,,0,M,57,1,12,73,73,1,1000000
186,WL,1,1,,0,F,57,1,12,73,73,1,1000000
187,WL,1,1,,0,M,58,1,12,72,72,1,1000000
188,WL,1,1,,0,F,58,1,12,72,72,1,1000000
189,WL,1,1,,0,M,59,1,12,71,71,1,1000000
190,WL,1,1,,0,F,59,1,12,71,71,1,1000000
191,WL,1,1,,0,M,60,1,12,70,70,1,1000000
192,WL,1,1,,0,F,60,1,12,70,70,1,1000000
193,WL,1,1,,0,M,61,1,12,69,69,1,1000000
194,WL,1,1,,0,F,61,1,12,69,69,1,1000000
195,WL,1,1,,0,M,62,1,12,68,68,1,1000000
196,WL,1,1,,0,F,62,1,12,68,68,1,1000000
197,WL,1,1,,0,M,63,1,12,67,67,1,1000000
198,WL,1,1,,0,F,63,1,12,67,67,1,1000000
199,WL,1,1,,0,M,64,1,12,66,66,1,1000000
200,WL,1,1,,0,F,64,1,12,66,66,1,1000000
201,ENDW,1,1,,0,M,30,1,12,10,10,1,1000000
202,ENDW,1,1,,0,F,30,1,12,10,10,1,1000000
203,ENDW,1,1,,0,M,31,1,12,10,10,1,1000000
204,ENDW,1,1,,0,F,31,1,12,10,10,1,1000000
205,ENDW,1,1,,0,M,32,1,12,10,10,1,1000000
206,ENDW,1,1,,0,F,32,1,12,10,10,1,1000000
207,ENDW,1,1,,0,M,33,1,12,10,10,1,1000000
208,ENDW,1,1,,0,F,33,1,12,10,10,1,1000000
209,ENDW,1,1,,0,M,34,1,12,10,10,1,1000000
210,ENDW,1,1,,0,F,34,1,12,10,10,1,1000000
211,ENDW,1,1,,0,M,35,1,12,10,10,1,1000000
212,ENDW,1,1,,0,F,35,1,12,10,10,1,1000000
213,ENDW,1,1,,0,M,36,1,12,10,10,1,1000000
214,ENDW,1,1,,0,F,36,1,12,10,10,1,1000000
215,ENDW,1,1,,0,M,37,1,12,10,10,1,1000000
216,ENDW,1,1,,0,F,37,1,12,10,10,1,1000000
217,ENDW,1,1,,0,M,38,1,12,10,10,1,1000000
218,ENDW,1,1,,0,F,38,1,12,10,10,1,1000000
219,ENDW,1,1,,0,M,39,1,12,10,10,1,1000000
220,ENDW,1,1,,0,F,39,1,12,10,10,1,1000000
221,ENDW,1,1,,0,M,40,1,12,10,10,1,1000000
222,ENDW,1,1,,0,F,40,1,12,10,10,1,1000000
223,ENDW,1,1,,0,M,41,1,12,10,10,1,1000000
224,ENDW,1,1,,0,F,41,1,12,10,10,1,1000000
225,ENDW,1,1,,0,M,42,1,12,10,10,1,1000000
226,ENDW,1,1,,0,F,42,1,12,10,10,1,1000000
227,ENDW,1,1,,0,M,43,1,12,10,10,1,1000000
228,ENDW,1,1,,0,F,43,1,12,10,10,1,1000000
229,ENDW,1,1,,0,M,44,1,12,10,10,1,1000000
230,ENDW,1,1,,0,F,44,1,12,10,10,1,1000000
231,ENDW,1,1,,0,M,45,1,12,10,10,1,1000000
232,ENDW,1,1,,0,F,45,1,12,10,10,1,1000000
233,ENDW,1,1,,0,M,46,1,12,10,10,1,1000000
234,ENDW,1,1,,0,F,46,1,12,10,10,1,1000000
235,ENDW,1,1,,0,M,47,1,12,10,10,1,1000000
236,ENDW,1,1,,0,F,47,1,12,10,10,1,1000000
237,ENDW,1,1,,0,M,48,1,12,10,10,1,1000000
238,ENDW,1,1,,0,F,48,1,12,10,10,1,1000000
239,ENDW,1,1,,0,M,49,1,12,10,10,1,1000000
240,ENDW,1,1,,0,F,49,1,12,10,10,1,1000000
241,ENDW,1,1,,0,M,50,1,12,10,10,1,1000000
242,ENDW,1,1,,0,F,50,1,12,10,10,1,1000000
243,ENDW,1,1,,0,M,51,1,12,10,10,1,1000000
244,ENDW,1,1,,0,F,51,1,12,10,10,1,1000000
245,ENDW,1,1,,0,M,52,1,12,10,10,1,1000000
246,ENDW,1,1,,0,F,52,1,12,10,10,1,1000000
247,ENDW,1,1,,0,M,53,1,12,10,10,1,1000000
248,ENDW,1,1,,0,F,53,1,12,10,10,1,1000000
249,ENDW,1,1,,0,M,54,1,12,10,10,1,1000000
250,ENDW,1,1,,0,F,54,1,12,10,10,1,1000000
251,ENDW,1,1,,0,M,55,1,12,10,10,1,1000000
252,ENDW,1,1,,0,F,55,1,12,10,10,1,1000000
253,ENDW,1,1,,0,M,56,1,12,10,10,1,1000000
254,ENDW,1,1,,0,F,56,1,12,10,10,1,1000000
255,ENDW,1,1,,0,M,57,1,12,10,10,1,1000000
256,ENDW,1,1,,0,F,57,1,12,10,10,1,1000000
257,ENDW,1,1,,0,M,58,1,12,10,10,1,1000000
258,ENDW,1,1,,0,F,58,1,12,10,10,1,1000000
259,ENDW,1,1,,0,M,59,1,12,10,10,1,1000000
260,ENDW,1,1,,0,F,59,1,12,10,10,1,1000000
261,ENDW,1,1,,0,M,60,1,12,10,10,1,1000000
262,ENDW,1,1,,0,F,60,1,12,10,10,1,1000000
263,ENDW,1,1,,0,M,61,1,12,10,10,1,1000000
264,ENDW,1,1,,0,F,61,1,12,10,10,1,1000000
265,ENDW,1,1,,0,M,62,1,12,10,10,1,1000000
266,ENDW,1,1,,0,F,62,1,12,10,10,1,1000000
267,ENDW,1,1,,0,M,63,1,12,10,10,1,1000000
268,ENDW,1,1,,0,F,63,1,12,10,10,1,1000000
269,ENDW,1,1,,0,M,64,1,12,10,10,1,1000000
270,ENDW,1,1,,0,F,64,1,12,10,10,1,1000000
271,ENDW,1,1,,0,M,65,1,12,10,10,1,1000000
272,ENDW,1,1,,0,F,65,1,12,10,10,1,1000000
273,ENDW,1,1,,0,M,66,1,12,10,10,1,1000000
274,ENDW,1,1,,0,F,66,1,12,10,10,1,1000000
275,ENDW,1,1,,0,M,67,1,12,10,10,1,1000000
276,ENDW,1,1,,0,F,67,1,12,10,10,1,1000000
277,ENDW,1,1,,0,M,68,1,12,10,10,1,1000000
278,ENDW,1,1,,0,F,68,1,12,10,10,1,1000000
279,ENDW,1,1,,0,M,69,1,12,10,10,1,1000000
280,ENDW,1,1,,0,F,69,1,12,10,10,1,1000000
281,ENDW,1,1,,0,M,70,1,12,10,10,1,1000000
282,ENDW,1,1,,0,F,70,1,12,10,10,1,1000000
283,ENDW,1,1,,0,M,71,1,12,10,10,1,1000000
284,ENDW,1,1,,0,F,71,1,12,10,10,1,1000000
285,ENDW,1,1,,0,M,72,1,12,10,10,1,1000000
286,ENDW,1,1,,0,F,72,1,12,10,10,1,1000000
287,ENDW,1,1,,0,M,73,1,12,10,10,1,1000000
288,ENDW,1,1,,0,F,73,1,12,10,10,1,1000000
289,ENDW,1,1,,0,M,74,1,12,10,10,1,1000000
290,ENDW,1,1,,0,F,74,1,12,10,10,1,1000000
291,ENDW,1,1,,0,M,75,1,12,10,10,1,1000000
292,ENDW,1,1,,0,F,75,1,12,10,10,1,1000000
293,ENDW,1,1,,0,M,76,1,12,10,10,1,1000000
294,ENDW,1,1,,0,F,76,1,12,10,10,1,1000000
295,ENDW,1,1,,0,M,77,1,12,10,10,1,1000000
296,ENDW,1,1,,0,F,77,1,12,10,10,1,1000000
297,ENDW,1,1,,0,M,78,1,12,10,10,1,1000000
298,ENDW,1,1,,0,F,78,1,12,10,10,1,1000000
299,ENDW,1,1,,0,M,79,1,12,10,10,1,1000000
300,ENDW,1,1,,0,F,79,1,12,10,10,1,1000000
