sex,age,inc_rate,provenance
F,10,0.000152,"[R5] [REG-R61] 보험개발원 장기손해보험 참조순보험요율 공시, 「기타피부암 및 갑상선암 이외의 암 발생률」, 적용시점 2024-04-01 이후, read verbatim off the published age-and-sex grid. The definition is the insured one -- invasive cancer excluding 기타피부암 (C44) and 갑상선암 (C73), by 원발부위 -- so it already embodies the tier carve-out and the 원발부위 기준. It is a 참조순보험요율 (a net premium rate with a safety loading inside it), not a best estimate [REG-R4]; the adjustment to a best estimate is the [std] inc_be_factor Reference in Projection"
F,20,0.000250,"[R5] [REG-R61] 보험개발원 장기손해보험 참조순보험요율 공시, 「기타피부암 및 갑상선암 이외의 암 발생률」, 적용시점 2024-04-01 이후, read verbatim off the published age-and-sex grid. The definition is the insured one -- invasive cancer excluding 기타피부암 (C44) and 갑상선암 (C73), by 원발부위 -- so it already embodies the tier carve-out and the 원발부위 기준. It is a 참조순보험요율 (a net premium rate with a safety loading inside it), not a best estimate [REG-R4]; the adjustment to a best estimate is the [std] inc_be_factor Reference in Projection"
F,30,0.001005,"[R5] [REG-R61] 보험개발원 장기손해보험 참조순보험요율 공시, 「기타피부암 및 갑상선암 이외의 암 발생률」, 적용시점 2024-04-01 이후, read verbatim off the published age-and-sex grid. The definition is the insured one -- invasive cancer excluding 기타피부암 (C44) and 갑상선암 (C73), by 원발부위 -- so it already embodies the tier carve-out and the 원발부위 기준. It is a 참조순보험요율 (a net premium rate with a safety loading inside it), not a best estimate [REG-R4]; the adjustment to a best estimate is the [std] inc_be_factor Reference in Projection"
F,40,0.003382,"[R5] [REG-R61] 보험개발원 장기손해보험 참조순보험요율 공시, 「기타피부암 및 갑상선암 이외의 암 발생률」, 적용시점 2024-04-01 이후, read verbatim off the published age-and-sex grid. The definition is the insured one -- invasive cancer excluding 기타피부암 (C44) and 갑상선암 (C73), by 원발부위 -- so it already embodies the tier carve-out and the 원발부위 기준. It is a 참조순보험요율 (a net premium rate with a safety loading inside it), not a best estimate [REG-R4]; the adjustment to a best estimate is the [std] inc_be_factor Reference in Projection"
F,50,0.004962,"[R5] [REG-R61] 보험개발원 장기손해보험 참조순보험요율 공시, 「기타피부암 및 갑상선암 이외의 암 발생률」, 적용시점 2024-04-01 이후, read verbatim off the published age-and-sex grid. The definition is the insured one -- invasive cancer excluding 기타피부암 (C44) and 갑상선암 (C73), by 원발부위 -- so it already embodies the tier carve-out and the 원발부위 기준. It is a 참조순보험요율 (a net premium rate with a safety loading inside it), not a best estimate [REG-R4]; the adjustment to a best estimate is the [std] inc_be_factor Reference in Projection"
F,60,0.006239,"[R5] [REG-R61] 보험개발원 장기손해보험 참조순보험요율 공시, 「기타피부암 및 갑상선암 이외의 암 발생률」, 적용시점 2024-04-01 이후, read verbatim off the published age-and-sex grid. The definition is the insured one -- invasive cancer excluding 기타피부암 (C44) and 갑상선암 (C73), by 원발부위 -- so it already embodies the tier carve-out and the 원발부위 기준. It is a 참조순보험요율 (a net premium rate with a safety loading inside it), not a best estimate [REG-R4]; the adjustment to a best estimate is the [std] inc_be_factor Reference in Projection"
F,70,0.008626,"[R5] [REG-R61] 보험개발원 장기손해보험 참조순보험요율 공시, 「기타피부암 및 갑상선암 이외의 암 발생률」, 적용시점 2024-04-01 이후, read verbatim off the published age-and-sex grid. The definition is the insured one -- invasive cancer excluding 기타피부암 (C44) and 갑상선암 (C73), by 원발부위 -- so it already embodies the tier carve-out and the 원발부위 기준. It is a 참조순보험요율 (a net premium rate with a safety loading inside it), not a best estimate [REG-R4]; the adjustment to a best estimate is the [std] inc_be_factor Reference in Projection"
F,80,0.011452,"[R5] [REG-R61] 보험개발원 장기손해보험 참조순보험요율 공시, 「기타피부암 및 갑상선암 이외의 암 발생률」, 적용시점 2024-04-01 이후, read verbatim off the published age-and-sex grid. The definition is the insured one -- invasive cancer excluding 기타피부암 (C44) and 갑상선암 (C73), by 원발부위 -- so it already embodies the tier carve-out and the 원발부위 기준. It is a 참조순보험요율 (a net premium rate with a safety loading inside it), not a best estimate [REG-R4]; the adjustment to a best estimate is the [std] inc_be_factor Reference in Projection"
F,90,0.013170,"[std] extrapolation above the published age-80 endpoint of the 보험개발원 grid [R5] [REG-R61], which stops at 80. The 80->90 step is the age-80 rate x 1.15 and 90->100 is flat, on the deceleration the registry's own crude bands show: the male 80+ band rate 2,930.2 per 100,000 is only 1.24x the 70-79 band 2,367.7 where the 70-79 / 60-69 step is 1.88 [R1]. Log-linear extrapolation of the 70->80 slope would give 0.040 at 90 and is rejected for that reason"
F,100,0.013170,"[std] extrapolation above the published age-80 endpoint of the 보험개발원 grid [R5] [REG-R61], which stops at 80. The 80->90 step is the age-80 rate x 1.15 and 90->100 is flat, on the deceleration the registry's own crude bands show: the male 80+ band rate 2,930.2 per 100,000 is only 1.24x the 70-79 band 2,367.7 where the 70-79 / 60-69 step is 1.88 [R1]. Log-linear extrapolation of the 70->80 slope would give 0.040 at 90 and is rejected for that reason"
