sex,age,inc_rate,provenance
F,28,0.0000619081,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,29,0.0000712112,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,30,0.0000819124,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,31,0.0000942217,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,32,0.0001083808,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,33,0.0001246675,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,34,0.0001434018,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,35,0.0001649513,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,36,0.0001897392,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,37,0.0002182520,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,38,0.0002510496,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,39,0.0002887758,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,40,0.0003321712,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,41,0.0003820878,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,42,0.0004395056,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,43,0.0005055518,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,44,0.0005815230,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,45,0.0006689107,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,46,0.0007694304,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,47,0.0008850557,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,48,0.0010180564,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,49,0.0011710435,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,50,0.0013470207,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,51,0.0015494426,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,52,0.0017822833,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,53,0.0020501137,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,54,0.0023581921,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,55,0.0027125666,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,56,0.0031201943,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,57,0.0035890777,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,58,0.0041284221,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,59,0.0047488158,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,60,0.0054624383,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,61,0.0062832997,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,62,0.0072275150,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,63,0.0083136212,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,64,0.0095629406,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,65,0.0110000000,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,66,0.0126530118,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,67,0.0145544279,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,68,0.0167415771,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,69,0.0192573975,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,70,0.0221512798,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,71,0.0254800367,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,72,0.0293090187,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,73,0.0337133962,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,74,0.0387796364,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,75,0.0446071996,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,76,0.0513104930,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,77,0.0590211157,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,78,0.0678904429,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,79,0.0780925977,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,80,0.0898278690,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,81,0.1033266442,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,82,0.1188539315,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,83,0.1367145633,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,84,0.1572591801,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,85,0.1808911145,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,86,0.2080743094,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,87,0.2393424264,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,88,0.2753093220,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,89,0.3166810997,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,90,0.3642699715,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,91,0.4190102040,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,92,0.4819764591,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,93,0.5000000000,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]; the inc_cap binds at this age"
F,94,0.5000000000,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]; the inc_cap binds at this age"
F,95,0.5000000000,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]; the inc_cap binds at this age"
F,96,0.5000000000,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]; the inc_cap binds at this age"
F,97,0.5000000000,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]; the inc_cap binds at this age"
F,98,0.5000000000,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]; the inc_cap binds at this age"
F,99,0.5000000000,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]; the inc_cap binds at this age"
F,100,0.5000000000,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]; the inc_cap binds at this age"
F,101,0.5000000000,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]; the inc_cap binds at this age"
F,102,0.5000000000,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]; the inc_cap binds at this age"
F,103,0.5000000000,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]; the inc_cap binds at this age"
F,104,0.5000000000,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]; the inc_cap binds at this age"
F,105,0.5000000000,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]; the inc_cap binds at this age"
F,106,0.5000000000,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]; the inc_cap binds at this age"
F,107,0.5000000000,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]; the inc_cap binds at this age"
F,108,0.5000000000,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]; the inc_cap binds at this age"
F,109,0.5000000000,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]; the inc_cap binds at this age"
M,18,0.0000129594,"[std] min(0.0085 x exp(0.1380 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
M,19,0.0000148771,"[std] min(0.0085 x exp(0.1380 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
M,20,0.0000170785,"[std] min(0.0085 x exp(0.1380 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
M,21,0.0000196057,"[std] min(0.0085 x exp(0.1380 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
M,22,0.0000225069,"[std] min(0.0085 x exp(0.1380 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
M,23,0.0000258374,"[std] min(0.0085 x exp(0.1380 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
M,24,0.0000296607,"[std] min(0.0085 x exp(0.1380 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
M,25,0.0000340497,"[std] min(0.0085 x exp(0.1380 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
M,26,0.0000390882,"[std] min(0.0085 x exp(0.1380 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
M,27,0.0000448723,"[std] min(0.0085 x exp(0.1380 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
M,28,0.0000515123,"[std] min(0.0085 x exp(0.1380 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
M,29,0.0000591349,"[std] min(0.0085 x exp(0.1380 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
