age,single_prem_rate,provenance
49,0.8493168,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
50,0.854808,[S5] prime unique rate card anchor
51,0.8602992,[std] linear interpolation between the [S5] anchors
52,0.8657904000000001,[std] linear interpolation between the [S5] anchors
53,0.8712816,[std] linear interpolation between the [S5] anchors
54,0.8767728,[std] linear interpolation between the [S5] anchors
55,0.882264,[std] linear interpolation between the [S5] anchors
56,0.8877552000000001,[std] linear interpolation between the [S5] anchors
57,0.8932464000000001,[std] linear interpolation between the [S5] anchors
58,0.8987376,[std] linear interpolation between the [S5] anchors
59,0.9042288,[std] linear interpolation between the [S5] anchors
60,0.9097200000000001,[S5] prime unique rate card anchor
61,0.9151392,[std] linear interpolation between the [S5] anchors
62,0.9205584000000001,[std] linear interpolation between the [S5] anchors
63,0.9259776000000001,[std] linear interpolation between the [S5] anchors
64,0.9313968000000001,[std] linear interpolation between the [S5] anchors
65,0.9368160000000001,[std] linear interpolation between the [S5] anchors
66,0.9422352,[std] linear interpolation between the [S5] anchors
67,0.9476544000000001,[std] linear interpolation between the [S5] anchors
68,0.9530736000000001,[std] linear interpolation between the [S5] anchors
69,0.9584928000000001,[std] linear interpolation between the [S5] anchors
70,0.9639120000000001,[S5] prime unique rate card anchor
71,0.9693312000000001,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
72,0.9747504000000001,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
73,0.9801696000000001,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
74,0.9855888000000002,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
75,0.9910080000000001,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
76,0.9964272000000001,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
77,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
78,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
79,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
80,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
81,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
82,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
83,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
84,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
85,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
86,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
87,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
88,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
89,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
90,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
91,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
92,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
93,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
94,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
95,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
96,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
97,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
98,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
99,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
100,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
101,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
102,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
103,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
104,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
105,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
106,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
107,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
108,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
109,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
110,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
111,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
112,1.0,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
