sex,occ_class,deferred_weeks,age,inception_rate,provenance
F,2,4,40,0.0078975,[std] sex/occupation/deferred-period factor
F,2,4,45,0.0114075,[std] sex/occupation/deferred-period factor
F,2,4,50,0.01755,[std] sex/occupation/deferred-period factor
F,2,4,55,0.02851875,[std] sex/occupation/deferred-period factor
F,2,4,60,0.043875,[std] sex/occupation/deferred-period factor
F,2,4,64,0.061425,[std] sex/occupation/deferred-period factor
F,2,8,30,0.0030375,[std] sex/occupation/deferred-period factor
F,2,8,35,0.00394875,[std] sex/occupation/deferred-period factor
F,2,8,40,0.0054675,[std] sex/occupation/deferred-period factor
F,2,8,45,0.0078975,[std] sex/occupation/deferred-period factor
F,2,8,50,0.01215,[std] sex/occupation/deferred-period factor
F,2,8,55,0.01974375,[std] sex/occupation/deferred-period factor
F,2,8,60,0.030375,[std] sex/occupation/deferred-period factor
F,2,8,64,0.042525,[std] sex/occupation/deferred-period factor
F,2,13,30,0.002446875,[std] sex/occupation/deferred-period factor
F,2,13,35,0.0031809375,[std] sex/occupation/deferred-period factor
F,2,13,40,0.004404375,[std] sex/occupation/deferred-period factor
F,2,13,45,0.006361875,[std] sex/occupation/deferred-period factor
F,2,13,50,0.0097875,[std] sex/occupation/deferred-period factor
F,2,13,55,0.0159046875,[std] sex/occupation/deferred-period factor
F,2,13,60,0.02446875,[std] sex/occupation/deferred-period factor
F,2,13,64,0.03425625,[std] sex/occupation/deferred-period factor
F,2,26,30,0.0016875,[std] sex/occupation/deferred-period factor
F,2,26,35,0.00219375,[std] sex/occupation/deferred-period factor
F,2,26,40,0.0030375,[std] sex/occupation/deferred-period factor
F,2,26,45,0.0043875,[std] sex/occupation/deferred-period factor
F,2,26,50,0.00675,[std] sex/occupation/deferred-period factor
F,2,26,55,0.01096875,[std] sex/occupation/deferred-period factor
F,2,26,60,0.016875,[std] sex/occupation/deferred-period factor
F,2,26,64,0.023625,[std] sex/occupation/deferred-period factor
F,2,52,30,0.0010125,[std] sex/occupation/deferred-period factor
F,2,52,35,0.00131625,[std] sex/occupation/deferred-period factor
F,2,52,40,0.0018225,[std] sex/occupation/deferred-period factor
F,2,52,45,0.0026325,[std] sex/occupation/deferred-period factor
F,2,52,50,0.00405,[std] sex/occupation/deferred-period factor
F,2,52,55,0.00658125,[std] sex/occupation/deferred-period factor
F,2,52,60,0.010125,[std] sex/occupation/deferred-period factor
F,2,52,64,0.014175,[std] sex/occupation/deferred-period factor
F,3,4,30,0.006175,[std] sex/occupation/deferred-period factor
F,3,4,35,0.0080275,[std] sex/occupation/deferred-period factor
F,3,4,40,0.011115,[std] sex/occupation/deferred-period factor
F,3,4,45,0.016055,[std] sex/occupation/deferred-period factor
F,3,4,50,0.0247,[std] sex/occupation/deferred-period factor
F,3,4,55,0.0401375,[std] sex/occupation/deferred-period factor
F,3,4,60,0.06175,[std] sex/occupation/deferred-period factor
F,3,4,64,0.08645,[std] sex/occupation/deferred-period factor
F,3,8,30,0.004275,[std] sex/occupation/deferred-period factor
F,3,8,35,0.0055575,[std] sex/occupation/deferred-period factor
F,3,8,40,0.007695,[std] sex/occupation/deferred-period factor
F,3,8,45,0.011115,[std] sex/occupation/deferred-period factor
F,3,8,50,0.0171,[std] sex/occupation/deferred-period factor
F,3,8,55,0.0277875,[std] sex/occupation/deferred-period factor
F,3,8,60,0.04275,[std] sex/occupation/deferred-period factor
F,3,8,64,0.05985,[std] sex/occupation/deferred-period factor
F,3,13,30,0.00344375,[std] sex/occupation/deferred-period factor
F,3,13,35,0.004476875,[std] sex/occupation/deferred-period factor
F,3,13,40,0.00619875,[std] sex/occupation/deferred-period factor
F,3,13,45,0.00895375,[std] sex/occupation/deferred-period factor
F,3,13,50,0.013775,[std] sex/occupation/deferred-period factor
F,3,13,55,0.022384375,[std] sex/occupation/deferred-period factor
F,3,13,60,0.0344375,[std] sex/occupation/deferred-period factor
F,3,13,64,0.0482125,[std] sex/occupation/deferred-period factor
F,3,26,30,0.002375,[std] sex/occupation/deferred-period factor
F,3,26,35,0.0030875,[std] sex/occupation/deferred-period factor
F,3,26,40,0.004275,[std] sex/occupation/deferred-period factor
F,3,26,45,0.006175,[std] sex/occupation/deferred-period factor
F,3,26,50,0.0095,[std] sex/occupation/deferred-period factor
F,3,26,55,0.0154375,[std] sex/occupation/deferred-period factor
F,3,26,60,0.02375,[std] sex/occupation/deferred-period factor
F,3,26,64,0.03325,[std] sex/occupation/deferred-period factor
F,3,52,30,0.001425,[std] sex/occupation/deferred-period factor
F,3,52,35,0.0018525,[std] sex/occupation/deferred-period factor
F,3,52,40,0.002565,[std] sex/occupation/deferred-period factor
F,3,52,45,0.003705,[std] sex/occupation/deferred-period factor
F,3,52,50,0.0057,[std] sex/occupation/deferred-period factor
F,3,52,55,0.0092625,[std] sex/occupation/deferred-period factor
F,3,52,60,0.01425,[std] sex/occupation/deferred-period factor
F,3,52,64,0.01995,[std] sex/occupation/deferred-period factor
F,4,4,30,0.00845,[std] sex/occupation/deferred-period factor
F,4,4,35,0.010985,[std] sex/occupation/deferred-period factor
F,4,4,40,0.01521,[std] sex/occupation/deferred-period factor
F,4,4,45,0.02197,[std] sex/occupation/deferred-period factor
F,4,4,50,0.0338,[std] sex/occupation/deferred-period factor
F,4,4,55,0.054925,[std] sex/occupation/deferred-period factor
F,4,4,60,0.0845,[std] sex/occupation/deferred-period factor
F,4,4,64,0.1183,[std] sex/occupation/deferred-period factor
F,4,8,30,0.00585,[std] sex/occupation/deferred-period factor
F,4,8,35,0.007605,[std] sex/occupation/deferred-period factor
F,4,8,40,0.01053,[std] sex/occupation/deferred-period factor
F,4,8,45,0.01521,[std] sex/occupation/deferred-period factor
F,4,8,50,0.0234,[std] sex/occupation/deferred-period factor
F,4,8,55,0.038025,[std] sex/occupation/deferred-period factor
F,4,8,60,0.0585,[std] sex/occupation/deferred-period factor
F,4,8,64,0.0819,[std] sex/occupation/deferred-period factor
F,4,13,30,0.0047125,[std] sex/occupation/deferred-period factor
F,4,13,35,0.00612625,[std] sex/occupation/deferred-period factor
F,4,13,40,0.0084825,[std] sex/occupation/deferred-period factor
F,4,13,45,0.0122525,[std] sex/occupation/deferred-period factor
F,4,13,50,0.01885,[std] sex/occupation/deferred-period factor
F,4,13,55,0.03063125,[std] sex/occupation/deferred-period factor
F,4,13,60,0.047125,[std] sex/occupation/deferred-period factor
F,4,13,64,0.065975,[std] sex/occupation/deferred-period factor
F,4,26,30,0.00325,[std] sex/occupation/deferred-period factor
F,4,26,35,0.004225,[std] sex/occupation/deferred-period factor
F,4,26,40,0.00585,[std] sex/occupation/deferred-period factor
F,4,26,45,0.00845,[std] sex/occupation/deferred-period factor
F,4,26,50,0.013,[std] sex/occupation/deferred-period factor
F,4,26,55,0.021125,[std] sex/occupation/deferred-period factor
F,4,26,60,0.0325,[std] sex/occupation/deferred-period factor
F,4,26,64,0.0455,[std] sex/occupation/deferred-period factor
F,4,52,30,0.00195,[std] sex/occupation/deferred-period factor
F,4,52,35,0.002535,[std] sex/occupation/deferred-period factor
F,4,52,40,0.00351,[std] sex/occupation/deferred-period factor
F,4,52,45,0.00507,[std] sex/occupation/deferred-period factor
F,4,52,50,0.0078,[std] sex/occupation/deferred-period factor
F,4,52,55,0.012675,[std] sex/occupation/deferred-period factor
F,4,52,60,0.0195,[std] sex/occupation/deferred-period factor
F,4,52,64,0.0273,[std] sex/occupation/deferred-period factor
