cause,sex,age,rate,provenance
disability,F,0,6.3965e-05,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,F,1,8.141e-05,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,F,5,0.0001163,"[S1] 적용위험률 published in the 상품요약서: 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 - 남자 0.0001823, 여자 0.0001163; the only observation of a Korean child morbidity rate in the whole research file, and the calibration point of the basic contract's decrement"
disability,F,10,0.00013956,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,F,15,0.0002326,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,F,20,0.0003489,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,F,30,0.00039542,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,F,40,0.0004652,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,F,50,0.0005815,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,F,60,0.00075595,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,F,70,0.0010467,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,F,80,0.0015119,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,F,90,0.0020934,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,F,100,0.0025586,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disease_disab,M,0,0.0026,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,M,1,0.0009,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,M,5,0.0006,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,M,10,0.0005,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,M,15,0.0006,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,M,20,0.0008,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,M,30,0.0011,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,M,40,0.0018,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,M,50,0.0032,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,M,60,0.006,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,M,70,0.012,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,M,80,0.024,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,M,90,0.04,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,M,100,0.05,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,F,0,0.0023,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,F,1,0.0008,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,F,5,0.00052,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,F,10,0.00044,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,F,15,0.00055,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,F,20,0.00074,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,F,30,0.001,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,F,40,0.0016,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,F,50,0.0028,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,F,60,0.005,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,F,70,0.0098,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,F,80,0.02,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,F,90,0.035,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
disease_disab,F,100,0.045,[std] CONSTRUCTED: 질병후유장해(3~100%) has no published Korean rate; shaped on the 질병입원율 age pattern of the 참조순보험요율 display [REG-R61] and on the 국민건강보험 진료비 실태조사 age gradient [REG-R41]
cancer,M,0,0.00018,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,M,1,0.00015,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,M,5,0.00012,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,M,10,0.0001,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,M,15,0.00012,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,M,20,0.00025,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,M,30,0.00055,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,M,40,0.0016,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,M,50,0.0043,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,M,60,0.0105,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,M,70,0.019,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,M,80,0.024,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,M,90,0.023,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,M,100,0.02,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,F,0,0.00016,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,F,1,0.00013,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,F,5,0.00011,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,F,10,9e-05,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,F,15,0.00014,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,F,20,0.0004,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,F,30,0.0013,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,F,40,0.003,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,F,50,0.0048,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,F,60,0.007,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,F,70,0.01,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
