age,sex,mort_rate,provenance
89,F,0.052140,[std] illustrative annuitant table - NOT 2012 IAM Basic
90,M,0.085034,[std] illustrative annuitant table - NOT 2012 IAM Basic
90,F,0.057691,[std] illustrative annuitant table - NOT 2012 IAM Basic
91,M,0.093915,[std] illustrative annuitant table - NOT 2012 IAM Basic
91,F,0.063815,[std] illustrative annuitant table - NOT 2012 IAM Basic
92,M,0.103672,[std] illustrative annuitant table - NOT 2012 IAM Basic
92,F,0.070565,[std] illustrative annuitant table - NOT 2012 IAM Basic
93,M,0.114379,[std] illustrative annuitant table - NOT 2012 IAM Basic
93,F,0.078002,[std] illustrative annuitant table - NOT 2012 IAM Basic
94,M,0.126114,[std] illustrative annuitant table - NOT 2012 IAM Basic
94,F,0.086186,[std] illustrative annuitant table - NOT 2012 IAM Basic
95,M,0.138958,[std] illustrative annuitant table - NOT 2012 IAM Basic
95,F,0.095186,[std] illustrative annuitant table - NOT 2012 IAM Basic
96,M,0.152994,[std] illustrative annuitant table - NOT 2012 IAM Basic
96,F,0.105073,[std] illustrative annuitant table - NOT 2012 IAM Basic
97,M,0.168306,[std] illustrative annuitant table - NOT 2012 IAM Basic
97,F,0.115920,[std] illustrative annuitant table - NOT 2012 IAM Basic
98,M,0.184979,[std] illustrative annuitant table - NOT 2012 IAM Basic
98,F,0.127807,[std] illustrative annuitant table - NOT 2012 IAM Basic
99,M,0.203094,[std] illustrative annuitant table - NOT 2012 IAM Basic
99,F,0.140814,[std] illustrative annuitant table - NOT 2012 IAM Basic
100,M,0.222731,[std] illustrative annuitant table - NOT 2012 IAM Basic
100,F,0.155024,[std] illustrative annuitant table - NOT 2012 IAM Basic
101,M,0.243961,[std] illustrative annuitant table - NOT 2012 IAM Basic
101,F,0.170523,[std] illustrative annuitant table - NOT 2012 IAM Basic
102,M,0.266849,[std] illustrative annuitant table - NOT 2012 IAM Basic
102,F,0.187394,[std] illustrative annuitant table - NOT 2012 IAM Basic
103,M,0.291444,[std] illustrative annuitant table - NOT 2012 IAM Basic
103,F,0.205720,[std] illustrative annuitant table - NOT 2012 IAM Basic
104,M,0.317779,[std] illustrative annuitant table - NOT 2012 IAM Basic
104,F,0.225577,[std] illustrative annuitant table - NOT 2012 IAM Basic
105,M,0.345867,[std] illustrative annuitant table - NOT 2012 IAM Basic
105,F,0.247038,[std] illustrative annuitant table - NOT 2012 IAM Basic
106,M,0.375692,[std] illustrative annuitant table - NOT 2012 IAM Basic
106,F,0.270164,[std] illustrative annuitant table - NOT 2012 IAM Basic
107,M,0.407208,[std] illustrative annuitant table - NOT 2012 IAM Basic
107,F,0.295004,[std] illustrative annuitant table - NOT 2012 IAM Basic
108,M,0.440331,[std] illustrative annuitant table - NOT 2012 IAM Basic
108,F,0.321586,[std] illustrative annuitant table - NOT 2012 IAM Basic
109,M,0.474935,[std] illustrative annuitant table - NOT 2012 IAM Basic
109,F,0.349921,[std] illustrative annuitant table - NOT 2012 IAM Basic
110,M,0.510845,[std] illustrative annuitant table - NOT 2012 IAM Basic
110,F,0.379989,[std] illustrative annuitant table - NOT 2012 IAM Basic
111,M,0.547837,[std] illustrative annuitant table - NOT 2012 IAM Basic
111,F,0.411738,[std] illustrative annuitant table - NOT 2012 IAM Basic
112,M,0.585631,[std] illustrative annuitant table - NOT 2012 IAM Basic
112,F,0.445079,[std] illustrative annuitant table - NOT 2012 IAM Basic
113,M,0.623895,[std] illustrative annuitant table - NOT 2012 IAM Basic
113,F,0.479880,[std] illustrative annuitant table - NOT 2012 IAM Basic
114,M,0.662244,[std] illustrative annuitant table - NOT 2012 IAM Basic
114,F,0.515959,[std] illustrative annuitant table - NOT 2012 IAM Basic
115,M,0.700250,[std] illustrative annuitant table - NOT 2012 IAM Basic
115,F,0.553084,[std] illustrative annuitant table - NOT 2012 IAM Basic
116,M,0.737450,[std] illustrative annuitant table - NOT 2012 IAM Basic
116,F,0.590967,[std] illustrative annuitant table - NOT 2012 IAM Basic
117,M,0.773361,[std] illustrative annuitant table - NOT 2012 IAM Basic
117,F,0.629269,[std] illustrative annuitant table - NOT 2012 IAM Basic
118,M,0.807500,[std] illustrative annuitant table - NOT 2012 IAM Basic
118,F,0.667599,[std] illustrative annuitant table - NOT 2012 IAM Basic
119,M,0.839407,[std] illustrative annuitant table - NOT 2012 IAM Basic
119,F,0.705522,[std] illustrative annuitant table - NOT 2012 IAM Basic
120,M,1.000000,[std] limiting age omega = 120 with q = 1
120,F,1.000000,[std] limiting age omega = 120 with q = 1
