age,sex,improvement_rate,provenance
93,M,0.00733,[std] illustrative G2-shaped scale - NOT Projection Scale G2
93,F,0.00733,[std] illustrative G2-shaped scale - NOT Projection Scale G2
94,M,0.00700,[std] illustrative G2-shaped scale - NOT Projection Scale G2
94,F,0.00700,[std] illustrative G2-shaped scale - NOT Projection Scale G2
95,M,0.00667,[std] illustrative G2-shaped scale - NOT Projection Scale G2
95,F,0.00667,[std] illustrative G2-shaped scale - NOT Projection Scale G2
96,M,0.00633,[std] illustrative G2-shaped scale - NOT Projection Scale G2
96,F,0.00633,[std] illustrative G2-shaped scale - NOT Projection Scale G2
97,M,0.00600,[std] illustrative G2-shaped scale - NOT Projection Scale G2
97,F,0.00600,[std] illustrative G2-shaped scale - NOT Projection Scale G2
98,M,0.00567,[std] illustrative G2-shaped scale - NOT Projection Scale G2
98,F,0.00567,[std] illustrative G2-shaped scale - NOT Projection Scale G2
99,M,0.00533,[std] illustrative G2-shaped scale - NOT Projection Scale G2
99,F,0.00533,[std] illustrative G2-shaped scale - NOT Projection Scale G2
100,M,0.00500,[std] illustrative G2-shaped scale - NOT Projection Scale G2
100,F,0.00500,[std] illustrative G2-shaped scale - NOT Projection Scale G2
101,M,0.00467,[std] illustrative G2-shaped scale - NOT Projection Scale G2
101,F,0.00467,[std] illustrative G2-shaped scale - NOT Projection Scale G2
102,M,0.00433,[std] illustrative G2-shaped scale - NOT Projection Scale G2
102,F,0.00433,[std] illustrative G2-shaped scale - NOT Projection Scale G2
103,M,0.00400,[std] illustrative G2-shaped scale - NOT Projection Scale G2
103,F,0.00400,[std] illustrative G2-shaped scale - NOT Projection Scale G2
104,M,0.00367,[std] illustrative G2-shaped scale - NOT Projection Scale G2
104,F,0.00367,[std] illustrative G2-shaped scale - NOT Projection Scale G2
105,M,0.00333,[std] illustrative G2-shaped scale - NOT Projection Scale G2
105,F,0.00333,[std] illustrative G2-shaped scale - NOT Projection Scale G2
106,M,0.00300,[std] illustrative G2-shaped scale - NOT Projection Scale G2
106,F,0.00300,[std] illustrative G2-shaped scale - NOT Projection Scale G2
107,M,0.00267,[std] illustrative G2-shaped scale - NOT Projection Scale G2
107,F,0.00267,[std] illustrative G2-shaped scale - NOT Projection Scale G2
108,M,0.00233,[std] illustrative G2-shaped scale - NOT Projection Scale G2
108,F,0.00233,[std] illustrative G2-shaped scale - NOT Projection Scale G2
109,M,0.00200,[std] illustrative G2-shaped scale - NOT Projection Scale G2
109,F,0.00200,[std] illustrative G2-shaped scale - NOT Projection Scale G2
110,M,0.00167,[std] illustrative G2-shaped scale - NOT Projection Scale G2
110,F,0.00167,[std] illustrative G2-shaped scale - NOT Projection Scale G2
111,M,0.00133,[std] illustrative G2-shaped scale - NOT Projection Scale G2
111,F,0.00133,[std] illustrative G2-shaped scale - NOT Projection Scale G2
112,M,0.00100,[std] illustrative G2-shaped scale - NOT Projection Scale G2
112,F,0.00100,[std] illustrative G2-shaped scale - NOT Projection Scale G2
113,M,0.00067,[std] illustrative G2-shaped scale - NOT Projection Scale G2
113,F,0.00067,[std] illustrative G2-shaped scale - NOT Projection Scale G2
114,M,0.00033,[std] illustrative G2-shaped scale - NOT Projection Scale G2
114,F,0.00033,[std] illustrative G2-shaped scale - NOT Projection Scale G2
115,M,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
115,F,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
116,M,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
116,F,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
117,M,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
117,F,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
118,M,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
118,F,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
119,M,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
119,F,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
120,M,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
120,F,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
