premium_period,sex,issue_age,policy_year,cv_per_1000,provenance
PAY_10,F,45,9,343.36,[std] generated
PAY_10,F,45,10,367.48,[std] generated
PAY_10,F,45,11,385.82,[std] generated
PAY_10,F,45,12,404.54,[std] generated
PAY_10,F,45,13,423.60,[std] generated
PAY_10,F,45,14,442.98,[std] generated
PAY_10,F,45,15,462.63,[std] generated
PAY_10,F,45,16,482.53,[std] generated
PAY_10,F,45,17,502.63,[std] generated
PAY_10,F,45,18,522.90,[std] generated
PAY_10,F,45,19,543.28,[std] generated
PAY_10,F,45,20,563.75,[std] generated
PAY_10,F,45,21,584.24,[std] generated
PAY_10,F,45,22,604.72,[std] generated
PAY_10,F,45,23,625.13,[std] generated
PAY_10,F,45,24,645.43,[std] generated
PAY_10,F,45,25,665.57,[std] generated
PAY_10,F,45,26,685.50,[std] generated
PAY_10,F,45,27,705.17,[std] generated
PAY_10,F,45,28,724.53,[std] generated
PAY_10,F,45,29,743.53,[std] generated
PAY_10,F,45,30,762.13,[std] generated
PAY_10,F,45,31,780.27,[std] generated
PAY_10,F,45,32,797.91,[std] generated
PAY_10,F,45,33,815.01,[std] generated
PAY_10,F,45,34,831.53,[std] generated
PAY_10,F,45,35,847.42,[std] generated
PAY_10,F,45,36,862.65,[std] generated
PAY_10,F,45,37,877.18,[std] generated
PAY_10,F,45,38,890.98,[std] generated
PAY_10,F,45,39,904.02,[std] generated
PAY_10,F,45,40,916.28,[std] generated
PAY_10,F,45,41,927.72,[std] generated
PAY_10,F,45,42,938.33,[std] generated
PAY_10,F,45,43,948.10,[std] generated
PAY_10,F,45,44,957.02,[std] generated
PAY_10,F,45,45,965.07,[std] generated
PAY_10,F,45,46,972.25,[std] generated
PAY_10,F,45,47,978.56,[std] generated
PAY_10,F,45,48,984.02,[std] generated
PAY_10,F,45,49,988.62,[std] generated
PAY_10,F,45,50,992.39,[std] generated
PAY_10,F,45,51,995.36,[std] generated
PAY_10,F,45,52,997.54,[std] generated
PAY_10,F,45,53,999.00,[std] generated
PAY_10,F,45,54,999.79,[std] generated
PAY_10,F,45,55,1000.00,[std] endowment at age 100
PAY_10,M,65,1,34.73,[std] generated
PAY_10,M,65,2,102.67,[std] generated
PAY_10,M,65,3,191.13,[std] generated
PAY_10,M,65,4,291.12,[std] generated
PAY_10,M,65,5,394.92,[std] generated
PAY_10,M,65,6,496.03,[std] generated
PAY_10,M,65,7,589.31,[std] generated
PAY_10,M,65,8,670.94,[std] generated
PAY_10,M,65,9,738.38,[std] generated
PAY_10,M,65,10,790.26,[std] generated
PAY_10,M,65,11,806.53,[std] generated
PAY_10,M,65,12,822.31,[std] generated
PAY_10,M,65,13,837.56,[std] generated
PAY_10,M,65,14,852.25,[std] generated
PAY_10,M,65,15,866.35,[std] generated
PAY_10,M,65,16,879.83,[std] generated
PAY_10,M,65,17,892.65,[std] generated
PAY_10,M,65,18,904.81,[std] generated
PAY_10,M,65,19,916.28,[std] generated
PAY_10,M,65,20,927.03,[std] generated
PAY_10,M,65,21,937.05,[std] generated
PAY_10,M,65,22,946.34,[std] generated
PAY_10,M,65,23,954.87,[std] generated
PAY_10,M,65,24,962.64,[std] generated
PAY_10,M,65,25,969.66,[std] generated
PAY_10,M,65,26,975.91,[std] generated
PAY_10,M,65,27,981.40,[std] generated
PAY_10,M,65,28,986.13,[std] generated
PAY_10,M,65,29,990.13,[std] generated
PAY_10,M,65,30,993.40,[std] generated
PAY_10,M,65,31,995.97,[std] generated
PAY_10,M,65,32,997.87,[std] generated
PAY_10,M,65,33,999.13,[std] generated
PAY_10,M,65,34,999.81,[std] generated
PAY_10,M,65,35,1000.00,[std] endowment at age 100
PAY_10,F,65,1,33.49,[std] generated
PAY_10,F,65,2,99.02,[std] generated
PAY_10,F,65,3,184.33,[std] generated
PAY_10,F,65,4,280.76,[std] generated
PAY_10,F,65,5,380.86,[std] generated
PAY_10,F,65,6,478.37,[std] generated
PAY_10,F,65,7,568.33,[std] generated
PAY_10,F,65,8,647.05,[std] generated
PAY_10,F,65,9,712.10,[std] generated
PAY_10,F,65,10,762.13,[std] generated
PAY_10,F,65,11,780.27,[std] generated
PAY_10,F,65,12,797.91,[std] generated
PAY_10,F,65,13,815.01,[std] generated
PAY_10,F,65,14,831.53,[std] generated
PAY_10,F,65,15,847.42,[std] generated
PAY_10,F,65,16,862.65,[std] generated
PAY_10,F,65,17,877.18,[std] generated
PAY_10,F,65,18,890.98,[std] generated
PAY_10,F,65,19,904.02,[std] generated
PAY_10,F,65,20,916.28,[std] generated
PAY_10,F,65,21,927.72,[std] generated
PAY_10,F,65,22,938.33,[std] generated
PAY_10,F,65,23,948.10,[std] generated
PAY_10,F,65,24,957.02,[std] generated
PAY_10,F,65,25,965.07,[std] generated
PAY_10,F,65,26,972.25,[std] generated
PAY_10,F,65,27,978.56,[std] generated
PAY_10,F,65,28,984.02,[std] generated
PAY_10,F,65,29,988.62,[std] generated
PAY_10,F,65,30,992.39,[std] generated
PAY_10,F,65,31,995.36,[std] generated
PAY_10,F,65,32,997.54,[std] generated
PAY_10,F,65,33,999.00,[std] generated
PAY_10,F,65,34,999.79,[std] generated
PAY_10,F,65,35,1000.00,[std] endowment at age 100
PAY_20,M,45,1,9.14,[std] generated
PAY_20,M,45,2,26.74,[std] generated
PAY_20,M,45,3,50.45,[std] generated
PAY_20,M,45,4,79.07,[std] generated
PAY_20,M,45,5,111.61,[std] generated
PAY_20,M,45,6,147.18,[std] generated
PAY_20,M,45,7,184.97,[std] generated
PAY_20,M,45,8,224.18,[std] generated
PAY_20,M,45,9,264.12,[std] generated
PAY_20,M,45,10,304.11,[std] generated
PAY_20,M,45,11,343.58,[std] generated
PAY_20,M,45,12,381.98,[std] generated
PAY_20,M,45,13,418.86,[std] generated
PAY_20,M,45,14,453.81,[std] generated
PAY_20,M,45,15,486.50,[std] generated
PAY_20,M,45,16,516.67,[std] generated
PAY_20,M,45,17,544.09,[std] generated
PAY_20,M,45,18,568.60,[std] generated
PAY_20,M,45,19,590.11,[std] generated
PAY_20,M,45,20,608.55,[std] generated
PAY_20,M,45,21,627.68,[std] generated
PAY_20,M,45,22,646.70,[std] generated
PAY_20,M,45,23,665.57,[std] generated
PAY_20,M,45,24,684.26,[std] generated
PAY_20,M,45,25,702.73,[std] generated
PAY_20,M,45,26,720.93,[std] generated
PAY_20,M,45,27,738.82,[std] generated
PAY_20,M,45,28,756.36,[std] generated
PAY_20,M,45,29,773.52,[std] generated
PAY_20,M,45,30,790.26,[std] generated
PAY_20,M,45,31,806.53,[std] generated
PAY_20,M,45,32,822.31,[std] generated
PAY_20,M,45,33,837.56,[std] generated
PAY_20,M,45,34,852.25,[std] generated
PAY_20,M,45,35,866.35,[std] generated
PAY_20,M,45,36,879.83,[std] generated
PAY_20,M,45,37,892.65,[std] generated
PAY_20,M,45,38,904.81,[std] generated
PAY_20,M,45,39,916.28,[std] generated
PAY_20,M,45,40,927.03,[std] generated
PAY_20,M,45,41,937.05,[std] generated
PAY_20,M,45,42,946.34,[std] generated
PAY_20,M,45,43,954.87,[std] generated
PAY_20,M,45,44,962.64,[std] generated
PAY_20,M,45,45,969.66,[std] generated
PAY_20,M,45,46,975.91,[std] generated
PAY_20,M,45,47,981.40,[std] generated
PAY_20,M,45,48,986.13,[std] generated
PAY_20,M,45,49,990.13,[std] generated
PAY_20,M,45,50,993.40,[std] generated
PAY_20,M,45,51,995.97,[std] generated
PAY_20,M,45,52,997.87,[std] generated
PAY_20,M,45,53,999.13,[std] generated
PAY_20,M,45,54,999.81,[std] generated
PAY_20,M,45,55,1000.00,[std] endowment at age 100
PAY_20,F,45,1,8.46,[std] generated
PAY_20,F,45,2,24.77,[std] generated
PAY_20,F,45,3,46.74,[std] generated
PAY_20,F,45,4,73.25,[std] generated
PAY_20,F,45,5,103.39,[std] generated
PAY_20,F,45,6,136.35,[std] generated
PAY_20,F,45,7,171.35,[std] generated
PAY_20,F,45,8,207.68,[std] generated
PAY_20,F,45,9,244.67,[std] generated
PAY_20,F,45,10,281.72,[std] generated
PAY_20,F,45,11,318.28,[std] generated
PAY_20,F,45,12,353.85,[std] generated
PAY_20,F,45,13,388.02,[std] generated
PAY_20,F,45,14,420.40,[std] generated
PAY_20,F,45,15,450.68,[std] generated
PAY_20,F,45,16,478.63,[std] generated
PAY_20,F,45,17,504.03,[std] generated
PAY_20,F,45,18,526.74,[std] generated
PAY_20,F,45,19,546.66,[std] generated
PAY_20,F,45,20,563.75,[std] generated
PAY_20,F,45,21,584.24,[std] generated
PAY_20,F,45,22,604.72,[std] generated
PAY_20,F,45,23,625.13,[std] generated
PAY_20,F,45,24,645.43,[std] generated
PAY_20,F,45,25,665.57,[std] generated
PAY_20,F,45,26,685.50,[std] generated
PAY_20,F,45,27,705.17,[std] generated
PAY_20,F,45,28,724.53,[std] generated
PAY_20,F,45,29,743.53,[std] generated
PAY_20,F,45,30,762.13,[std] generated
PAY_20,F,45,31,780.27,[std] generated
PAY_20,F,45,32,797.91,[std] generated
PAY_20,F,45,33,815.01,[std] generated
PAY_20,F,45,34,831.53,[std] generated
PAY_20,F,45,35,847.42,[std] generated
PAY_20,F,45,36,862.65,[std] generated
PAY_20,F,45,37,877.18,[std] generated
PAY_20,F,45,38,890.98,[std] generated
PAY_20,F,45,39,904.02,[std] generated
PAY_20,F,45,40,916.28,[std] generated
PAY_20,F,45,41,927.72,[std] generated
PAY_20,F,45,42,938.33,[std] generated
PAY_20,F,45,43,948.10,[std] generated
PAY_20,F,45,44,957.02,[std] generated
PAY_20,F,45,45,965.07,[std] generated
PAY_20,F,45,46,972.25,[std] generated
PAY_20,F,45,47,978.56,[std] generated
PAY_20,F,45,48,984.02,[std] generated
PAY_20,F,45,49,988.62,[std] generated
PAY_20,F,45,50,992.39,[std] generated
PAY_20,F,45,51,995.36,[std] generated
PAY_20,F,45,52,997.54,[std] generated
PAY_20,F,45,53,999.00,[std] generated
PAY_20,F,45,54,999.79,[std] generated
PAY_20,F,45,55,1000.00,[std] endowment at age 100
TO_65,M,45,1,9.14,[std] generated
TO_65,M,45,2,26.74,[std] generated
TO_65,M,45,3,50.45,[std] generated
TO_65,M,45,4,79.07,[std] generated
TO_65,M,45,5,111.61,[std] generated
TO_65,M,45,6,147.18,[std] generated
TO_65,M,45,7,184.97,[std] generated
TO_65,M,45,8,224.18,[std] generated
TO_65,M,45,9,264.12,[std] generated
TO_65,M,45,10,304.11,[std] generated
TO_65,M,45,11,343.58,[std] generated
TO_65,M,45,12,381.98,[std] generated
TO_65,M,45,13,418.86,[std] generated
TO_65,M,45,14,453.81,[std] generated
TO_65,M,45,15,486.50,[std] generated
TO_65,M,45,16,516.67,[std] generated
TO_65,M,45,17,544.09,[std] generated
TO_65,M,45,18,568.60,[std] generated
TO_65,M,45,19,590.11,[std] generated
TO_65,M,45,20,608.55,[std] generated
TO_65,M,45,21,627.68,[std] generated
TO_65,M,45,22,646.70,[std] generated
TO_65,M,45,23,665.57,[std] generated
TO_65,M,45,24,684.26,[std] generated
TO_65,M,45,25,702.73,[std] generated
TO_65,M,45,26,720.93,[std] generated
TO_65,M,45,27,738.82,[std] generated
TO_65,M,45,28,756.36,[std] generated
TO_65,M,45,29,773.52,[std] generated
TO_65,M,45,30,790.26,[std] generated
TO_65,M,45,31,806.53,[std] generated
TO_65,M,45,32,822.31,[std] generated
TO_65,M,45,33,837.56,[std] generated
TO_65,M,45,34,852.25,[std] generated
TO_65,M,45,35,866.35,[std] generated
TO_65,M,45,36,879.83,[std] generated
TO_65,M,45,37,892.65,[std] generated
TO_65,M,45,38,904.81,[std] generated
TO_65,M,45,39,916.28,[std] generated
TO_65,M,45,40,927.03,[std] generated
TO_65,M,45,41,937.05,[std] generated
TO_65,M,45,42,946.34,[std] generated
TO_65,M,45,43,954.87,[std] generated
TO_65,M,45,44,962.64,[std] generated
TO_65,M,45,45,969.66,[std] generated
TO_65,M,45,46,975.91,[std] generated
TO_65,M,45,47,981.40,[std] generated
TO_65,M,45,48,986.13,[std] generated
TO_65,M,45,49,990.13,[std] generated
TO_65,M,45,50,993.40,[std] generated
TO_65,M,45,51,995.97,[std] generated
TO_65,M,45,52,997.87,[std] generated
TO_65,M,45,53,999.13,[std] generated
TO_65,M,45,54,999.81,[std] generated
TO_65,M,45,55,1000.00,[std] endowment at age 100
TO_65,F,45,1,8.46,[std] generated
TO_65,F,45,2,24.77,[std] generated
TO_65,F,45,3,46.74,[std] generated
TO_65,F,45,4,73.25,[std] generated
TO_65,F,45,5,103.39,[std] generated
TO_65,F,45,6,136.35,[std] generated
TO_65,F,45,7,171.35,[std] generated
TO_65,F,45,8,207.68,[std] generated
TO_65,F,45,9,244.67,[std] generated
TO_65,F,45,10,281.72,[std] generated
TO_65,F,45,11,318.28,[std] generated
TO_65,F,45,12,353.85,[std] generated
TO_65,F,45,13,388.02,[std] generated
TO_65,F,45,14,420.40,[std] generated
TO_65,F,45,15,450.68,[std] generated
TO_65,F,45,16,478.63,[std] generated
TO_65,F,45,17,504.03,[std] generated
TO_65,F,45,18,526.74,[std] generated
TO_65,F,45,19,546.66,[std] generated
TO_65,F,45,20,563.75,[std] generated
TO_65,F,45,21,584.24,[std] generated
TO_65,F,45,22,604.72,[std] generated
TO_65,F,45,23,625.13,[std] generated
TO_65,F,45,24,645.43,[std] generated
TO_65,F,45,25,665.57,[std] generated
TO_65,F,45,26,685.50,[std] generated
TO_65,F,45,27,705.17,[std] generated
TO_65,F,45,28,724.53,[std] generated
TO_65,F,45,29,743.53,[std] generated
TO_65,F,45,30,762.13,[std] generated
TO_65,F,45,31,780.27,[std] generated
TO_65,F,45,32,797.91,[std] generated
TO_65,F,45,33,815.01,[std] generated
TO_65,F,45,34,831.53,[std] generated
TO_65,F,45,35,847.42,[std] generated
TO_65,F,45,36,862.65,[std] generated
TO_65,F,45,37,877.18,[std] generated
TO_65,F,45,38,890.98,[std] generated
TO_65,F,45,39,904.02,[std] generated
TO_65,F,45,40,916.28,[std] generated
TO_65,F,45,41,927.72,[std] generated
TO_65,F,45,42,938.33,[std] generated
TO_65,F,45,43,948.10,[std] generated
TO_65,F,45,44,957.02,[std] generated
TO_65,F,45,45,965.07,[std] generated
TO_65,F,45,46,972.25,[std] generated
TO_65,F,45,47,978.56,[std] generated
TO_65,F,45,48,984.02,[std] generated
TO_65,F,45,49,988.62,[std] generated
TO_65,F,45,50,992.39,[std] generated
TO_65,F,45,51,995.36,[std] generated
TO_65,F,45,52,997.54,[std] generated
TO_65,F,45,53,999.00,[std] generated
TO_65,F,45,54,999.79,[std] generated
TO_65,F,45,55,1000.00,[std] endowment at age 100
