age,sex,mort_rate,provenance
40,M,0.000946,[std] illustrative Makeham annuitant curve; not a published table
78,F,0.027142,[std] illustrative Makeham annuitant curve; not a published table
79,M,0.037428,[std] illustrative Makeham annuitant curve; not a published table
79,F,0.030056,[std] illustrative Makeham annuitant curve; not a published table
80,M,0.041427,[std] illustrative Makeham annuitant curve; not a published table
80,F,0.033281,[std] illustrative Makeham annuitant curve; not a published table
81,M,0.045846,[std] illustrative Makeham annuitant curve; not a published table
81,F,0.036848,[std] illustrative Makeham annuitant curve; not a published table
82,M,0.050728,[std] illustrative Makeham annuitant curve; not a published table
82,F,0.040793,[std] illustrative Makeham annuitant curve; not a published table
83,M,0.056117,[std] illustrative Makeham annuitant curve; not a published table
83,F,0.045152,[std] illustrative Makeham annuitant curve; not a published table
84,M,0.062064,[std] illustrative Makeham annuitant curve; not a published table
84,F,0.049967,[std] illustrative Makeham annuitant curve; not a published table
85,M,0.068620,[std] illustrative Makeham annuitant curve; not a published table
85,F,0.055284,[std] illustrative Makeham annuitant curve; not a published table
86,M,0.075845,[std] illustrative Makeham annuitant curve; not a published table
86,F,0.061150,[std] illustrative Makeham annuitant curve; not a published table
87,M,0.083798,[std] illustrative Makeham annuitant curve; not a published table
87,F,0.067620,[std] illustrative Makeham annuitant curve; not a published table
88,M,0.092546,[std] illustrative Makeham annuitant curve; not a published table
88,F,0.074749,[std] illustrative Makeham annuitant curve; not a published table
89,M,0.102158,[std] illustrative Makeham annuitant curve; not a published table
89,F,0.082598,[std] illustrative Makeham annuitant curve; not a published table
90,M,0.112709,[std] illustrative Makeham annuitant curve; not a published table
90,F,0.091233,[std] illustrative Makeham annuitant curve; not a published table
91,M,0.124275,[std] illustrative Makeham annuitant curve; not a published table
91,F,0.100722,[std] illustrative Makeham annuitant curve; not a published table
92,M,0.136937,[std] illustrative Makeham annuitant curve; not a published table
92,F,0.111139,[std] illustrative Makeham annuitant curve; not a published table
93,M,0.150778,[std] illustrative Makeham annuitant curve; not a published table
93,F,0.122561,[std] illustrative Makeham annuitant curve; not a published table
94,M,0.165881,[std] illustrative Makeham annuitant curve; not a published table
94,F,0.135067,[std] illustrative Makeham annuitant curve; not a published table
95,M,0.182331,[std] illustrative Makeham annuitant curve; not a published table
95,F,0.148741,[std] illustrative Makeham annuitant curve; not a published table
96,M,0.200211,[std] illustrative Makeham annuitant curve; not a published table
96,F,0.163665,[std] illustrative Makeham annuitant curve; not a published table
97,M,0.219601,[std] illustrative Makeham annuitant curve; not a published table
97,F,0.179925,[std] illustrative Makeham annuitant curve; not a published table
98,M,0.240573,[std] illustrative Makeham annuitant curve; not a published table
98,F,0.197604,[std] illustrative Makeham annuitant curve; not a published table
99,M,0.263193,[std] illustrative Makeham annuitant curve; not a published table
99,F,0.216781,[std] illustrative Makeham annuitant curve; not a published table
100,M,0.287513,[std] illustrative Makeham annuitant curve; not a published table
100,F,0.237532,[std] illustrative Makeham annuitant curve; not a published table
101,M,0.313569,[std] illustrative Makeham annuitant curve; not a published table
101,F,0.259922,[std] illustrative Makeham annuitant curve; not a published table
102,M,0.341377,[std] illustrative Makeham annuitant curve; not a published table
102,F,0.284006,[std] illustrative Makeham annuitant curve; not a published table
103,M,0.370927,[std] illustrative Makeham annuitant curve; not a published table
103,F,0.309822,[std] illustrative Makeham annuitant curve; not a published table
104,M,0.402177,[std] illustrative Makeham annuitant curve; not a published table
104,F,0.337390,[std] illustrative Makeham annuitant curve; not a published table
105,M,0.435050,[std] illustrative Makeham annuitant curve; not a published table
105,F,0.366702,[std] illustrative Makeham annuitant curve; not a published table
106,M,0.469427,[std] illustrative Makeham annuitant curve; not a published table
106,F,0.397723,[std] illustrative Makeham annuitant curve; not a published table
107,M,0.505141,[std] illustrative Makeham annuitant curve; not a published table
107,F,0.430380,[std] illustrative Makeham annuitant curve; not a published table
108,M,0.541975,[std] illustrative Makeham annuitant curve; not a published table
108,F,0.464559,[std] illustrative Makeham annuitant curve; not a published table
109,M,0.579659,[std] illustrative Makeham annuitant curve; not a published table
109,F,0.500102,[std] illustrative Makeham annuitant curve; not a published table
110,M,0.617869,[std] illustrative Makeham annuitant curve; not a published table
110,F,0.536799,[std] illustrative Makeham annuitant curve; not a published table
111,M,0.656229,[std] illustrative Makeham annuitant curve; not a published table
111,F,0.574386,[std] illustrative Makeham annuitant curve; not a published table
112,M,0.694315,[std] illustrative Makeham annuitant curve; not a published table
112,F,0.612547,[std] illustrative Makeham annuitant curve; not a published table
113,M,0.731671,[std] illustrative Makeham annuitant curve; not a published table
113,F,0.650913,[std] illustrative Makeham annuitant curve; not a published table
114,M,0.767814,[std] illustrative Makeham annuitant curve; not a published table
114,F,0.689066,[std] illustrative Makeham annuitant curve; not a published table
115,M,0.802261,[std] illustrative Makeham annuitant curve; not a published table
115,F,0.726553,[std] illustrative Makeham annuitant curve; not a published table
116,M,0.834546,[std] illustrative Makeham annuitant curve; not a published table
116,F,0.762895,[std] illustrative Makeham annuitant curve; not a published table
117,M,0.864248,[std] illustrative Makeham annuitant curve; not a published table
117,F,0.797607,[std] illustrative Makeham annuitant curve; not a published table
118,M,0.891016,[std] illustrative Makeham annuitant curve; not a published table
118,F,0.830219,[std] illustrative Makeham annuitant curve; not a published table
119,M,0.914595,[std] illustrative Makeham annuitant curve; not a published table
119,F,0.860303,[std] illustrative Makeham annuitant curve; not a published table
120,M,1.000000,[std] illustrative Makeham annuitant curve; not a published table
120,F,1.000000,[std] illustrative Makeham annuitant curve; not a published table
