issue_year,hoechstrechnungszins,hoechstzillmersatz,provenance
2001,0.0325,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2002,0.0325,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2003,0.0325,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2004,0.0275,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2005,0.0275,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2006,0.0275,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2007,0.0225,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2008,0.0225,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2009,0.0225,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2010,0.0225,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2011,0.0225,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2012,0.0175,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2013,0.0175,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2014,0.0175,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2015,0.0125,0.025,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2016,0.0125,0.025,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2017,0.0090,0.025,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2018,0.0090,0.025,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2019,0.0090,0.025,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2020,0.0090,0.025,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2021,0.0090,0.025,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2022,0.0025,0.025,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2023,0.0025,0.025,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2024,0.0025,0.025,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2025,0.0100,0.025,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2026,0.0100,0.025,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2027,0.0100,0.025,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015. Years after 2026 hold the 2026 rate flat [std] [R15]
2028,0.0100,0.025,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015. Years after 2026 hold the 2026 rate flat [std] [R15]
2029,0.0100,0.025,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015. Years after 2026 hold the 2026 rate flat [std] [R15]
2030,0.0100,0.025,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015. Years after 2026 hold the 2026 rate flat [std] [R15]
