sex,age,q_base,improve,provenance
M,37,0.000652357,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,38,0.000711069,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,39,0.000775066,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,40,0.000844822,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,41,0.000920856,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,42,0.001003733,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,43,0.001094068,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,44,0.001192535,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,45,0.001299863,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,46,0.001416850,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,47,0.001544367,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,48,0.001683360,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,49,0.001834862,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,50,0.002000000,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,51,0.002180000,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,52,0.002376200,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,53,0.002590058,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,54,0.002823163,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,55,0.003077248,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,56,0.003354200,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,57,0.003656078,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,58,0.003985125,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,59,0.004343787,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,60,0.004734727,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,61,0.005160853,0.014750,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,62,0.005625330,0.014500,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,63,0.006131609,0.014250,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,64,0.006683454,0.014000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,65,0.007284965,0.013750,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,66,0.007940612,0.013500,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,67,0.008655267,0.013250,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,68,0.009434241,0.013000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,69,0.010283323,0.012750,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,70,0.011208822,0.012500,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,71,0.012217615,0.012250,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,72,0.013317201,0.012000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,73,0.014515749,0.011750,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,74,0.015822166,0.011500,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,75,0.017246161,0.011250,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,76,0.018798316,0.011000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,77,0.020490164,0.010750,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,78,0.022334279,0.010500,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,79,0.024344364,0.010250,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,80,0.026535357,0.010000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,81,0.028923539,0.009750,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,82,0.031526658,0.009500,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,83,0.034364057,0.009250,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,84,0.037456822,0.009000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,85,0.040827936,0.008750,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,86,0.044502450,0.008500,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,87,0.048507671,0.008250,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,88,0.052873361,0.008000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,89,0.057631963,0.007750,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,90,0.062818840,0.007500,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,91,0.068472536,0.007250,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,92,0.074635064,0.007000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,93,0.081352220,0.006750,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,94,0.088673919,0.006500,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,95,0.096654572,0.006250,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,96,0.105353484,0.006000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,97,0.114835297,0.005750,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,98,0.125170474,0.005500,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,99,0.136435817,0.005250,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,100,0.148715040,0.005000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,101,0.162099394,0.004500,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,102,0.176688339,0.004000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,103,0.192590290,0.003500,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,104,0.209923416,0.003000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,105,0.228816523,0.002500,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,106,0.249410010,0.002000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,107,0.271856911,0.001500,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,108,0.296324033,0.001000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,109,0.322993196,0.000500,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,110,0.352062584,0.000000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,111,0.383748216,0.000000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,112,0.418285556,0.000000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,113,0.455931256,0.000000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,114,0.496965069,0.000000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,115,0.541691925,0.000000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,116,0.590444199,0.000000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,117,0.643584176,0.000000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,118,0.701506752,0.000000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
