table,sex,age,mort_rate,omega_age,provenance
death_cover_2018,M,95,0.25739,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(95) = 0.25739 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,M,100,0.39881,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(100) = 0.39881 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,M,105,0.57800,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(105) = 0.57800 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,M,109,1.00000,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(109) = 1.00000 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,F,18,0.00021,113,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(18) = 0.00021 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,F,20,0.00025,113,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(20) = 0.00025 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,F,22,0.00027,113,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(22) = 0.00027 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,F,25,0.00029,113,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(25) = 0.00029 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,F,30,0.00037,113,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(30) = 0.00037 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,F,35,0.00059,113,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(35) = 0.00059 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,F,40,0.00088,113,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(40) = 0.00088 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,F,45,0.00122,113,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(45) = 0.00122 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,F,50,0.00197,113,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(50) = 0.00197 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,F,55,0.00270,113,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(55) = 0.00270 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,F,60,0.00363,113,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(60) = 0.00363 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,F,65,0.00484,113,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(65) = 0.00484 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,F,70,0.00730,113,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(70) = 0.00730 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,F,75,0.01289,113,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(75) = 0.01289 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,F,80,0.02414,113,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(80) = 0.02414 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,F,85,0.04885,113,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(85) = 0.04885 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,F,90,0.09357,113,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(90) = 0.09357 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,F,95,0.16901,113,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(95) = 0.16901 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,F,100,0.28959,113,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(100) = 0.28959 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,F,105,0.46462,113,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(105) = 0.46462 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,F,110,0.67863,113,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(110) = 0.67863 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,F,113,1.00000,113,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(113) = 1.00000 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
annuity_payout_2007,M,60,0.00642,122,[std] Makeham construction fitted to the three published male spot rates of Sei-ho Hyojun Seimeihyo 2007 (nenkin kaishi go yo) quoted in the technical notes; not a copy of the IAJ workbook [R3] [REG-R19]
annuity_payout_2007,M,80,0.03357,122,[std] Makeham construction fitted to the three published male spot rates of Sei-ho Hyojun Seimeihyo 2007 (nenkin kaishi go yo) quoted in the technical notes; not a copy of the IAJ workbook [R3] [REG-R19]
annuity_payout_2007,M,100,0.17469,122,[std] Makeham construction fitted to the three published male spot rates of Sei-ho Hyojun Seimeihyo 2007 (nenkin kaishi go yo) quoted in the technical notes; not a copy of the IAJ workbook [R3] [REG-R19]
annuity_payout_2007,F,64,0.00642,126,[std] four-year age setback of the male construction; the setback is the published terminal-age difference (126 against 122) [R3] [REG-R19]; no female spot rate was retrieved
annuity_payout_2007,F,84,0.03357,126,[std] four-year age setback of the male construction; the setback is the published terminal-age difference (126 against 122) [R3] [REG-R19]; no female spot rate was retrieved
annuity_payout_2007,F,104,0.17469,126,[std] four-year age setback of the male construction; the setback is the published terminal-age difference (126 against 122) [R3] [REG-R19]; no female spot rate was retrieved
