sex,smoker,age,mort_rate,provenance
M,N,93,0.08105825,[std] geometric extension
M,N,94,0.0883535,[std] geometric extension
M,N,95,0.09630531,[std] geometric extension
M,N,96,0.10497279,[std] geometric extension
M,N,97,0.11442034,[std] geometric extension
M,N,98,0.12471817,[std] geometric extension
M,N,99,0.13594281,[std] geometric extension
M,N,100,0.14817766,[std] geometric extension
M,S,18,0.0002796,[std] sex/smoker factor
M,S,19,0.00030476,[std] sex/smoker factor
M,S,20,0.00033219,[std] sex/smoker factor
M,S,21,0.00036209,[std] sex/smoker factor
M,S,22,0.00039468,[std] sex/smoker factor
M,S,23,0.0004302,[std] sex/smoker factor
M,S,24,0.00046891,[std] sex/smoker factor
M,S,25,0.00051112,[std] sex/smoker factor
M,S,26,0.00055712,[std] sex/smoker factor
M,S,27,0.00060726,[std] sex/smoker factor
M,S,28,0.00066191,[std] sex/smoker factor
M,S,29,0.00072148,[std] sex/smoker factor
M,S,30,0.00078642,[std] sex/smoker factor
M,S,31,0.00085719,[std] sex/smoker factor
M,S,32,0.00093434,[std] sex/smoker factor
M,S,33,0.00101843,[std] sex/smoker factor
M,S,34,0.00111009,[std] sex/smoker factor
M,S,35,0.00121,[std] sex/smoker factor
M,S,36,0.00132,[std] sex/smoker factor
M,S,37,0.00143,[std] sex/smoker factor
M,S,38,0.0015587,[std] sex/smoker factor
M,S,39,0.00169898,[std] sex/smoker factor
M,S,40,0.00185189,[std] sex/smoker factor
M,S,41,0.00201856,[std] sex/smoker factor
M,S,42,0.00220023,[std] sex/smoker factor
M,S,43,0.00239825,[std] sex/smoker factor
M,S,44,0.0026141,[std] sex/smoker factor
M,S,45,0.00284936,[std] sex/smoker factor
M,S,46,0.00310581,[std] sex/smoker factor
M,S,47,0.00338533,[std] sex/smoker factor
M,S,48,0.00369001,[std] sex/smoker factor
M,S,49,0.00402211,[std] sex/smoker factor
M,S,50,0.0043841,[std] sex/smoker factor
M,S,51,0.00477867,[std] sex/smoker factor
M,S,52,0.00520875,[std] sex/smoker factor
M,S,53,0.00567754,[std] sex/smoker factor
M,S,54,0.00618852,[std] sex/smoker factor
M,S,55,0.00674548,[std] sex/smoker factor
M,S,56,0.00735258,[std] sex/smoker factor
M,S,57,0.00801431,[std] sex/smoker factor
M,S,58,0.0087356,[std] sex/smoker factor
M,S,59,0.0095218,[std] sex/smoker factor
M,S,60,0.01037876,[std] sex/smoker factor
M,S,61,0.01131285,[std] sex/smoker factor
M,S,62,0.01233101,[std] sex/smoker factor
M,S,63,0.0134408,[std] sex/smoker factor
M,S,64,0.01465047,[std] sex/smoker factor
M,S,65,0.01596901,[std] sex/smoker factor
M,S,66,0.01740622,[std] sex/smoker factor
M,S,67,0.01897278,[std] sex/smoker factor
M,S,68,0.02068033,[std] sex/smoker factor
M,S,69,0.02254156,[std] sex/smoker factor
M,S,70,0.0245703,[std] sex/smoker factor
M,S,71,0.02678163,[std] sex/smoker factor
M,S,72,0.02919197,[std] sex/smoker factor
M,S,73,0.03181925,[std] sex/smoker factor
M,S,74,0.03468298,[std] sex/smoker factor
M,S,75,0.03780445,[std] sex/smoker factor
M,S,76,0.04120685,[std] sex/smoker factor
M,S,77,0.04491547,[std] sex/smoker factor
M,S,78,0.04895786,[std] sex/smoker factor
M,S,79,0.05336407,[std] sex/smoker factor
M,S,80,0.05816684,[std] sex/smoker factor
M,S,81,0.06340185,[std] sex/smoker factor
M,S,82,0.06910802,[std] sex/smoker factor
M,S,83,0.07532774,[std] sex/smoker factor
M,S,84,0.08210724,[std] sex/smoker factor
M,S,85,0.08949689,[std] sex/smoker factor
M,S,86,0.09755161,[std] sex/smoker factor
M,S,87,0.10633125,[std] sex/smoker factor
M,S,88,0.11590107,[std] sex/smoker factor
M,S,89,0.12633216,[std] sex/smoker factor
M,S,90,0.13770206,[std] sex/smoker factor
M,S,91,0.15009524,[std] sex/smoker factor
M,S,92,0.16360381,[std] sex/smoker factor
M,S,93,0.17832816,[std] sex/smoker factor
M,S,94,0.19437769,[std] sex/smoker factor
M,S,95,0.21187168,[std] sex/smoker factor
M,S,96,0.23094014,[std] sex/smoker factor
M,S,97,0.25172475,[std] sex/smoker factor
M,S,98,0.27437997,[std] sex/smoker factor
M,S,99,0.29907417,[std] sex/smoker factor
M,S,100,0.32599085,[std] sex/smoker factor
F,N,18,8.896e-05,[std] sex/smoker factor
F,N,19,9.697e-05,[std] sex/smoker factor
F,N,20,0.0001057,[std] sex/smoker factor
F,N,21,0.00011521,[std] sex/smoker factor
F,N,22,0.00012558,[std] sex/smoker factor
F,N,23,0.00013688,[std] sex/smoker factor
F,N,24,0.0001492,[std] sex/smoker factor
F,N,25,0.00016263,[std] sex/smoker factor
F,N,26,0.00017726,[std] sex/smoker factor
F,N,27,0.00019322,[std] sex/smoker factor
F,N,28,0.00021061,[std] sex/smoker factor
F,N,29,0.00022956,[std] sex/smoker factor
F,N,30,0.00025022,[std] sex/smoker factor
F,N,31,0.00027274,[std] sex/smoker factor
F,N,32,0.00029729,[std] sex/smoker factor
F,N,33,0.00032405,[std] sex/smoker factor
F,N,34,0.00035321,[std] sex/smoker factor
F,N,35,0.000385,[std] sex/smoker factor
F,N,36,0.00042,[std] sex/smoker factor
F,N,37,0.000455,[std] sex/smoker factor
F,N,38,0.00049595,[std] sex/smoker factor
F,N,39,0.00054059,[std] sex/smoker factor
F,N,40,0.00058924,[std] sex/smoker factor
F,N,41,0.00064227,[std] sex/smoker factor
F,N,42,0.00070007,[std] sex/smoker factor
F,N,43,0.00076308,[std] sex/smoker factor
F,N,44,0.00083176,[std] sex/smoker factor
F,N,45,0.00090662,[std] sex/smoker factor
F,N,46,0.00098821,[std] sex/smoker factor
F,N,47,0.00107715,[std] sex/smoker factor
F,N,48,0.00117409,[std] sex/smoker factor
F,N,49,0.00127976,[std] sex/smoker factor
F,N,50,0.00139494,[std] sex/smoker factor
F,N,51,0.00152049,[std] sex/smoker factor
F,N,52,0.00165733,[std] sex/smoker factor
F,N,53,0.00180649,[std] sex/smoker factor
F,N,54,0.00196907,[std] sex/smoker factor
F,N,55,0.00214629,[std] sex/smoker factor
F,N,56,0.00233946,[std] sex/smoker factor
F,N,57,0.00255001,[std] sex/smoker factor
F,N,58,0.00277951,[std] sex/smoker factor
F,N,59,0.00302966,[std] sex/smoker factor
F,N,60,0.00330233,[std] sex/smoker factor
F,N,61,0.00359954,[std] sex/smoker factor
F,N,62,0.0039235,[std] sex/smoker factor
F,N,63,0.00427662,[std] sex/smoker factor
F,N,64,0.00466151,[std] sex/smoker factor
F,N,65,0.00508105,[std] sex/smoker factor
F,N,66,0.00553834,[std] sex/smoker factor
F,N,67,0.00603679,[std] sex/smoker factor
F,N,68,0.00658011,[std] sex/smoker factor
F,N,69,0.00717231,[std] sex/smoker factor
F,N,70,0.00781782,[std] sex/smoker factor
F,N,71,0.00852143,[std] sex/smoker factor
F,N,72,0.00928836,[std] sex/smoker factor
F,N,73,0.01012431,[std] sex/smoker factor
F,N,74,0.0110355,[std] sex/smoker factor
F,N,75,0.01202869,[std] sex/smoker factor
F,N,76,0.01311127,[std] sex/smoker factor
F,N,77,0.01429129,[std] sex/smoker factor
F,N,78,0.0155775,[std] sex/smoker factor
F,N,79,0.01697948,[std] sex/smoker factor
F,N,80,0.01850763,[std] sex/smoker factor
F,N,81,0.02017332,[std] sex/smoker factor
F,N,82,0.02198892,[std] sex/smoker factor
F,N,83,0.02396792,[std] sex/smoker factor
F,N,84,0.02612503,[std] sex/smoker factor
F,N,85,0.02847628,[std] sex/smoker factor
F,N,86,0.03103915,[std] sex/smoker factor
F,N,87,0.03383267,[std] sex/smoker factor
F,N,88,0.03687761,[std] sex/smoker factor
F,N,89,0.0401966,[std] sex/smoker factor
F,N,90,0.04381429,[std] sex/smoker factor
F,N,91,0.04775758,[std] sex/smoker factor
F,N,92,0.05205576,[std] sex/smoker factor
F,N,93,0.05674078,[std] sex/smoker factor
F,N,94,0.06184745,[std] sex/smoker factor
F,N,95,0.06741372,[std] sex/smoker factor
F,N,96,0.07348095,[std] sex/smoker factor
F,N,97,0.08009424,[std] sex/smoker factor
F,N,98,0.08730272,[std] sex/smoker factor
F,N,99,0.09515996,[std] sex/smoker factor
F,N,100,0.10372436,[std] sex/smoker factor
F,S,18,0.00019572,[std] sex/smoker factor
F,S,19,0.00021333,[std] sex/smoker factor
F,S,20,0.00023253,[std] sex/smoker factor
F,S,21,0.00025346,[std] sex/smoker factor
F,S,22,0.00027627,[std] sex/smoker factor
F,S,23,0.00030114,[std] sex/smoker factor
F,S,24,0.00032824,[std] sex/smoker factor
F,S,25,0.00035778,[std] sex/smoker factor
F,S,26,0.00038998,[std] sex/smoker factor
F,S,27,0.00042508,[std] sex/smoker factor
F,S,28,0.00046334,[std] sex/smoker factor
F,S,29,0.00050504,[std] sex/smoker factor
F,S,30,0.00055049,[std] sex/smoker factor
F,S,31,0.00060004,[std] sex/smoker factor
F,S,32,0.00065404,[std] sex/smoker factor
F,S,33,0.0007129,[std] sex/smoker factor
F,S,34,0.00077706,[std] sex/smoker factor
F,S,35,0.000847,[std] sex/smoker factor
F,S,36,0.000924,[std] sex/smoker factor
F,S,37,0.001001,[std] sex/smoker factor
F,S,38,0.00109109,[std] sex/smoker factor
F,S,39,0.00118929,[std] sex/smoker factor
F,S,40,0.00129632,[std] sex/smoker factor
F,S,41,0.00141299,[std] sex/smoker factor
F,S,42,0.00154016,[std] sex/smoker factor
F,S,43,0.00167878,[std] sex/smoker factor
F,S,44,0.00182987,[std] sex/smoker factor
F,S,45,0.00199456,[std] sex/smoker factor
F,S,46,0.00217407,[std] sex/smoker factor
F,S,47,0.00236973,[std] sex/smoker factor
F,S,48,0.00258301,[std] sex/smoker factor
F,S,49,0.00281548,[std] sex/smoker factor
F,S,50,0.00306887,[std] sex/smoker factor
F,S,51,0.00334507,[std] sex/smoker factor
F,S,52,0.00364612,[std] sex/smoker factor
F,S,53,0.00397428,[std] sex/smoker factor
F,S,54,0.00433196,[std] sex/smoker factor
F,S,55,0.00472184,[std] sex/smoker factor
F,S,56,0.0051468,[std] sex/smoker factor
F,S,57,0.00561002,[std] sex/smoker factor
F,S,58,0.00611492,[std] sex/smoker factor
F,S,59,0.00666526,[std] sex/smoker factor
F,S,60,0.00726513,[std] sex/smoker factor
F,S,61,0.00791899,[std] sex/smoker factor
F,S,62,0.0086317,[std] sex/smoker factor
F,S,63,0.00940856,[std] sex/smoker factor
F,S,64,0.01025533,[std] sex/smoker factor
F,S,65,0.01117831,[std] sex/smoker factor
F,S,66,0.01218435,[std] sex/smoker factor
F,S,67,0.01328095,[std] sex/smoker factor
F,S,68,0.01447623,[std] sex/smoker factor
F,S,69,0.01577909,[std] sex/smoker factor
F,S,70,0.01719921,[std] sex/smoker factor
F,S,71,0.01874714,[std] sex/smoker factor
F,S,72,0.02043438,[std] sex/smoker factor
F,S,73,0.02227348,[std] sex/smoker factor
F,S,74,0.02427809,[std] sex/smoker factor
F,S,75,0.02646312,[std] sex/smoker factor
F,S,76,0.0288448,[std] sex/smoker factor
F,S,77,0.03144083,[std] sex/smoker factor
F,S,78,0.0342705,[std] sex/smoker factor
F,S,79,0.03735485,[std] sex/smoker factor
F,S,80,0.04071679,[std] sex/smoker factor
F,S,81,0.0443813,[std] sex/smoker factor
F,S,82,0.04837561,[std] sex/smoker factor
F,S,83,0.05272942,[std] sex/smoker factor
F,S,84,0.05747507,[std] sex/smoker factor
F,S,85,0.06264782,[std] sex/smoker factor
F,S,86,0.06828613,[std] sex/smoker factor
F,S,87,0.07443188,[std] sex/smoker factor
F,S,88,0.08113075,[std] sex/smoker factor
F,S,89,0.08843251,[std] sex/smoker factor
F,S,90,0.09639144,[std] sex/smoker factor
F,S,91,0.10506667,[std] sex/smoker factor
F,S,92,0.11452267,[std] sex/smoker factor
F,S,93,0.12482971,[std] sex/smoker factor
F,S,94,0.13606438,[std] sex/smoker factor
F,S,95,0.14831018,[std] sex/smoker factor
F,S,96,0.16165809,[std] sex/smoker factor
F,S,97,0.17620732,[std] sex/smoker factor
F,S,98,0.19206598,[std] sex/smoker factor
F,S,99,0.20935192,[std] sex/smoker factor
F,S,100,0.22819359,[std] sex/smoker factor
