sex,age,cause,ci_rate,provenance
M,23,other,3.1213e-05,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,23,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,24,cancer,0.00021314,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,24,ami,5.0017e-05,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,24,stroke,7.1672e-05,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,24,other,3.5157e-05,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,24,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,25,cancer,0.000235094,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,25,ami,5.8351e-05,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,25,stroke,8.3992e-05,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,25,other,3.9631e-05,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,25,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,26,cancer,0.000259308,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,26,ami,6.8075e-05,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,26,stroke,9.8431e-05,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,26,other,4.4711e-05,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,26,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,27,cancer,0.000286017,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,27,ami,7.9419e-05,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,27,stroke,0.000115351,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,27,other,5.0483e-05,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,27,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,28,cancer,0.000315477,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,28,ami,9.2654e-05,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,28,stroke,0.00013518,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,28,other,5.7048e-05,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,28,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,29,cancer,0.000347971,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,29,ami,0.000108094,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,29,stroke,0.000158418,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,29,other,6.4521e-05,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,29,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,30,cancer,0.000383812,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,30,ami,0.000126107,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,30,stroke,0.00018565,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,30,other,7.3035e-05,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,30,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,31,cancer,0.000423345,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,31,ami,0.000147122,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,31,stroke,0.000217564,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,31,other,8.2743e-05,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,31,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,32,cancer,0.00046695,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,32,ami,0.000171638,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,32,stroke,0.000254963,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,32,other,9.3823e-05,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,32,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,33,cancer,0.000515046,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,33,ami,0.000200241,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,33,stroke,0.000298792,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,33,other,0.000106478,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,33,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,34,cancer,0.000568096,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,34,ami,0.000233609,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,34,stroke,0.000350155,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,34,other,0.000120945,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,34,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,35,cancer,0.00062661,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,35,ami,0.000272538,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,35,stroke,0.000410347,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,35,other,0.000137497,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,35,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,36,cancer,0.000691151,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,36,ami,0.000317955,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,36,stroke,0.000480886,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,36,other,0.000156449,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,36,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,37,cancer,0.00076234,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,37,ami,0.000370939,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,37,stroke,0.000563552,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,37,other,0.000178167,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,37,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,38,cancer,0.000840861,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,38,ami,0.000432753,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,38,stroke,0.000660427,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,38,other,0.000203074,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,38,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,39,cancer,0.00092747,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,39,ami,0.000504868,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,39,stroke,0.000773956,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,39,other,0.000231661,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
