sex,age,mort_rate,acc_mort_rate,provenance
M,44,0.00086067,0.00013905,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,45,0.00092789,0.00014744,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,46,0.00100219,0.00015633,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,47,0.00108431,0.00016576,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,48,0.00117508,0.00017576,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,49,0.00127541,0.00018637,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,50,0.00138630,0.00019761,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,51,0.00150887,0.00020953,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,52,0.00164435,0.00022217,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,53,0.00179408,0.00023558,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,54,0.00195959,0.00024979,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,55,0.00214252,0.00026486,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,56,0.00234471,0.00028084,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,57,0.00256820,0.00029779,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,58,0.00281521,0.00031575,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,59,0.00308823,0.00033480,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,60,0.00339000,0.00035500,"[S12] ANCHOR row: q(60) = 0.003390 is the disclosed 예정 경험사망률 (male) 교보라이프플래닛 상품요약서 prints at ages 20/40/60; the file as a whole is a [std] construction, the 제10회 경험생명표 not being published [REG-R33] [REG-R34]. acc_mort_rate is [S6] 예정 재해사망률, 흥국생명, same three ages"
M,61,0.00376036,0.00037642,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,62,0.00417352,0.00039913,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,63,0.00463447,0.00042321,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,64,0.00514875,0.00044874,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,65,0.00572256,0.00047581,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,66,0.00636281,0.00050452,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,67,0.00707723,0.00053496,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,68,0.00787443,0.00056723,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,69,0.00876403,0.00060146,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,70,0.00975677,0.00063774,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,71,0.01086463,0.00067622,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,72,0.01210099,0.00071702,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,73,0.01348078,0.00076028,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,74,0.01502066,0.00080615,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,75,0.01673925,0.00085478,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,76,0.01865730,0.00090635,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,77,0.02079800,0.00096103,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,78,0.02318721,0.00101901,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,79,0.02585383,0.00108049,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,80,0.02883008,0.00114568,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,81,0.03215195,0.00121480,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,82,0.03585960,0.00128809,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,83,0.03999788,0.00136581,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,84,0.04461681,0.00144821,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,85,0.04977226,0.00153558,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,86,0.05552659,0.00162823,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,87,0.06194938,0.00172646,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,88,0.06911834,0.00183062,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,89,0.07712016,0.00194106,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,90,0.08605166,0.00205817,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,91,0.09602086,0.00218235,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,92,0.10714837,0.00231401,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,93,0.11956881,0.00245362,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,94,0.13343244,0.00260165,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,95,0.14890697,0.00275861,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,96,0.16617964,0.00292505,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,97,0.18545941,0.00310152,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,98,0.20697954,0.00328864,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,99,0.23100042,0.00348705,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,100,0.25781267,0.00369743,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,101,0.28774070,0.00392050,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,102,0.32114663,0.00415703,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,103,0.35843466,0.00440783,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,104,0.40005596,0.00467376,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,105,0.44651414,0.00495574,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,106,0.49837135,0.00525473,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
M,107,0.55625505,0.00557176,"[std] the same Makeham fit to the [S12] anchors, tilted above age 60 by k^(x-60) with k = 1.00988626 (male), the one free parameter, solved so that this table's 65세 기대여명 is 23.7 years exactly - the 제10회 경험생명표 figure [REG-R33], which runs 4.2 years above the public 완전생명표 [REG-R38]. acc_mort_rate is [std], the [S6] 40-60 log-slope extended"
