age,sex,improvement_rate,provenance
47,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
47,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
48,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
48,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
49,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
49,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
50,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
50,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
51,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
51,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
52,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
52,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
53,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
53,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
54,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
54,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
55,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
55,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
56,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
56,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
57,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
57,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
58,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
58,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
59,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
59,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
60,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
60,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
61,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
61,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
62,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
62,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
63,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
63,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
64,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
64,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
65,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
65,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
66,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
66,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
67,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
67,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
68,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
68,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
69,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
69,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
70,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
70,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
71,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
71,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
72,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
72,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
73,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
73,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
74,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
74,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
75,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
75,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
76,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
76,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
77,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
77,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
78,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
78,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
79,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
79,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
80,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
80,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
81,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
81,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
82,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
82,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
83,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
83,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
84,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
84,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
85,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
85,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
86,M,0.00950,[std] illustrative G2-shaped scale - NOT Projection Scale G2
86,F,0.00950,[std] illustrative G2-shaped scale - NOT Projection Scale G2
87,M,0.00900,[std] illustrative G2-shaped scale - NOT Projection Scale G2
87,F,0.00900,[std] illustrative G2-shaped scale - NOT Projection Scale G2
88,M,0.00850,[std] illustrative G2-shaped scale - NOT Projection Scale G2
88,F,0.00850,[std] illustrative G2-shaped scale - NOT Projection Scale G2
89,M,0.00800,[std] illustrative G2-shaped scale - NOT Projection Scale G2
89,F,0.00800,[std] illustrative G2-shaped scale - NOT Projection Scale G2
90,M,0.00750,[std] illustrative G2-shaped scale - NOT Projection Scale G2
90,F,0.00750,[std] illustrative G2-shaped scale - NOT Projection Scale G2
91,M,0.00700,[std] illustrative G2-shaped scale - NOT Projection Scale G2
91,F,0.00700,[std] illustrative G2-shaped scale - NOT Projection Scale G2
92,M,0.00650,[std] illustrative G2-shaped scale - NOT Projection Scale G2
92,F,0.00650,[std] illustrative G2-shaped scale - NOT Projection Scale G2
93,M,0.00600,[std] illustrative G2-shaped scale - NOT Projection Scale G2
93,F,0.00600,[std] illustrative G2-shaped scale - NOT Projection Scale G2
94,M,0.00550,[std] illustrative G2-shaped scale - NOT Projection Scale G2
94,F,0.00550,[std] illustrative G2-shaped scale - NOT Projection Scale G2
95,M,0.00500,[std] illustrative G2-shaped scale - NOT Projection Scale G2
95,F,0.00500,[std] illustrative G2-shaped scale - NOT Projection Scale G2
96,M,0.00450,[std] illustrative G2-shaped scale - NOT Projection Scale G2
96,F,0.00450,[std] illustrative G2-shaped scale - NOT Projection Scale G2
97,M,0.00400,[std] illustrative G2-shaped scale - NOT Projection Scale G2
97,F,0.00400,[std] illustrative G2-shaped scale - NOT Projection Scale G2
98,M,0.00350,[std] illustrative G2-shaped scale - NOT Projection Scale G2
98,F,0.00350,[std] illustrative G2-shaped scale - NOT Projection Scale G2
99,M,0.00300,[std] illustrative G2-shaped scale - NOT Projection Scale G2
99,F,0.00300,[std] illustrative G2-shaped scale - NOT Projection Scale G2
100,M,0.00250,[std] illustrative G2-shaped scale - NOT Projection Scale G2
100,F,0.00250,[std] illustrative G2-shaped scale - NOT Projection Scale G2
101,M,0.00200,[std] illustrative G2-shaped scale - NOT Projection Scale G2
101,F,0.00200,[std] illustrative G2-shaped scale - NOT Projection Scale G2
102,M,0.00150,[std] illustrative G2-shaped scale - NOT Projection Scale G2
102,F,0.00150,[std] illustrative G2-shaped scale - NOT Projection Scale G2
103,M,0.00100,[std] illustrative G2-shaped scale - NOT Projection Scale G2
103,F,0.00100,[std] illustrative G2-shaped scale - NOT Projection Scale G2
104,M,0.00050,[std] illustrative G2-shaped scale - NOT Projection Scale G2
104,F,0.00050,[std] illustrative G2-shaped scale - NOT Projection Scale G2
105,M,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
105,F,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
106,M,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
106,F,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
107,M,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
107,F,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
108,M,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
108,F,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
109,M,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
109,F,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
110,M,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
110,F,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
111,M,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
111,F,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
112,M,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
112,F,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
113,M,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
113,F,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
114,M,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
114,F,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
115,M,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
115,F,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
116,M,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
116,F,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
117,M,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
117,F,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
118,M,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
118,F,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
119,M,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
119,F,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
120,M,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
120,F,0.00000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
